Eredmény,A.h.,Er.h.,Csapat,Típus,Helyszín,Dátum
44.34,1,1,Hungary,H2,Amsterdam (NED),2016.7.09
44.54,-,2,Hungary,F,Miskolc (HUN),2016.7.01
44.58,-,3,Hungary,F,Šamorín (SVK),2016.6.04
44.92,-,4,Hungary,F,Budapest (HUN),2016.5.22
45.27,-,5,Hungary,F2,Genève (SUI),2016.6.11
46.26,2,6,Hungary U20,F,Miskolc (HUN),2016.7.01
46.79,3,7,Gödöllői EAC,F,Székesfehérvár (HUN),2016.7.29
46.81,4,8,Hungary U23,F,Maribor (SLO),2016.7.15
46.94,5,9,GEAC-Ikarus BSE A,F,Debrecen (HUN),2016.5.14
46.95,6,10,DSC-SI - NYSC,F,Debrecen (HUN),2016.5.14
46.99,7,11,GEAC-Ikarus BSE,F1,Székesfehérvár (HUN),2016.9.1
47.15,-,12,Hungary U20,F,Šamorín (SVK),2016.6.04
47.21,-,13,Hungary U20,F,Zalaegerszeg (HUN),2016.6.11
47.41,8,14,UTE-MTK,F,Szekszárd (HUN),2016.5.14
47.83,9,15,VEDAC,F,Székesfehérvár (HUN),2016.7.29
47.87,10,16,BHSE-KSI SE,F,Debrecen (HUN),2016.5.14
47.92,11,17,Zalaszám-ZAC,F,Székesfehérvár (HUN),2016.7.29
48.07,12,18,TE,F,Miskolc (HUN),2016.5.28
48.15,-,19,DSC-SI - NYSC,F1,Székesfehérvár (HUN),2016.9.1
48.17,13,20,UTE U18,H2,Budapest (HUN),2016.5.21
48.43,14,21,VASAS-TFSE,F,Szekszárd (HUN),2016.5.14
48.43,14,21,Bp. Honvéd SE,F,Székesfehérvár (HUN),2016.7.29
48.68,16,23,ARAK UP Akadémia U18,F,Budapest (HUN),2016.5.21
48.72,17,24,Pannónia Príma,F,Szekszárd (HUN),2016.5.14
48.72,17,24,DE,F,Miskolc (HUN),2016.5.28
48.84,19,26,VEDAC U20,F,Budapest (HUN),2016.5.21
48.85,-,27,BHSE-KSI SE,F1,Székesfehérvár (HUN),2016.9.1
48.91,-,28,ARAK UP Akadémia U18,H1,Budapest (HUN),2016.5.21
49.04,-,29,VASAS-TFSE,F2,Székesfehérvár (HUN),2016.9.1
49.11,20,30,Bakony-Balaton Team,F2,Székesfehérvár (HUN),2016.9.1
49.26,21,31,Hungary U16,F,Trnava (SVK),2016.9.24
49.44,22,32,Favorit AC,F,Székesfehérvár (HUN),2016.7.29
49.5,23,33,DSC-SI U16,F,Budapest (HUN),2016.5.21
49.58,24,34,Ikarus BSE U18,H2,Budapest (HUN),2016.5.21
49.62,25,35,Vasas U18,H2,Budapest (HUN),2016.5.21
49.66,-,36,Vasas U18,F,Budapest (HUN),2016.5.21
49.67,-,37,Ikarus BSE U18,F,Budapest (HUN),2016.5.21
49.77,26,38,NYSC U18,F,Budapest (HUN),2016.5.21
49.81,-,39,Pannónia Príma,F1,Székesfehérvár (HUN),2016.9.1
49.97,27,40,Haladás VSE U20,F,Budapest (HUN),2016.5.21
49.99,-,41,DSC-SI U16,H1,Budapest (HUN),2016.5.21
50.08,28,42,ARAK UP Akadémia U16,F1,Székesfehérvár (HUN),2016.9.1
50.12,29,43,Szombathelyi SI U16,F,Budapest (HUN),2016.5.21
50.22,-,44,NYSC U18,H2,Budapest (HUN),2016.5.21
50.28,30,45,Pannon Duo,F,Szekszárd (HUN),2016.5.14
50.4,31,46,GEAC-Ikarus BSE B,F,Debrecen (HUN),2016.5.14
50.58,32,47,KARC U16,F,Budapest (HUN),2016.5.21
50.59,-,48,ARAK UP Akadémia U16,H1,Budapest (HUN),2016.5.21
50.67,-,49,Szombathelyi SI U16,H2,Budapest (HUN),2016.5.21
50.74,-,50,DSC-SI U16,F1,Székesfehérvár (HUN),2016.9.1
