Eredmény,A.h.,Er.h.,Csapat,Típus,Helyszín,Dátum
3:57.01,14,14,BEAC,F2,Budapest (HUN),2020.8.09
3:58.25,-,15,Vasas,F1,Budapest (HUN),2020.8.09
3:58.44,15,16,UTE,F1,Budapest (HUN),2020.8.09
3:59.94,16,17,BHSE,F1,Székesfehérvár (HUN),2020.9.06
4:00.09,17,18,TFSE,F2,Székesfehérvár (HUN),2020.9.06
4:00.41,-,19,Vasas,F1,Budapest (HUN),2020.8.16
4:02.23,18,20,KONOK KUNOK,F2,Székesfehérvár (HUN),2020.9.06
4:03.52,-,21,ARAK UP Akadémia,F1,Debrecen (HUN),2020.8.23
4:03.66,-,22,FTC,F1,Székesfehérvár (HUN),2020.9.06
4:04.95,19,23,Sportolj Velünk! - B csapat,F3,Székesfehérvár (HUN),2020.9.06
4:05.26,-,24,Ikarus BSE,F1,Debrecen (HUN),2020.8.23
4:05.54,-,25,Vasas,F3,Székesfehérvár (HUN),2020.9.06
4:05.55,-,26,SVSE,F1,Debrecen (HUN),2020.8.23
4:05.65,-,27,UTE,F1,Debrecen (HUN),2020.8.23
4:06.15,20,28,SavArrA,F1,Székesfehérvár (HUN),2020.9.06
4:07.21,21,29,KARC,F1,Debrecen (HUN),2020.8.23
4:07.60,-,30,TFSE,F1,Budapest (HUN),2020.8.16
4:07.62,22,31,DSC-SI,F1,Debrecen (HUN),2020.8.23
4:08.79,23,32,BEAC B,F3,Székesfehérvár (HUN),2020.9.06
4:13.71,-,33,BEAC,F1,Budapest (HUN),2020.8.09
4:16.09,-,34,SVSE,F1,Budapest (HUN),2020.8.16
4:16.74,24,35,SZVSE,F2,Székesfehérvár (HUN),2020.9.06
4:19.46,25,36,Titán TC,F1,Debrecen (HUN),2020.8.23
4:20.82,26,37,Keszthely VDSE,F1,Budapest (HUN),2020.8.16
4:26.96,27,38,Albertirsai SE,F3,Székesfehérvár (HUN),2020.9.06
4:27.64,28,39,HÓDIÁK SE,F3,Székesfehérvár (HUN),2020.9.06
3:30.82,1,1,női válogatott,F2,Stara Zagora (BUL),2021.6.2
3:40.38,2,2,női U23 válogatott,H1,Tallinn (EST),2021.7.11
3:43.78,3,3,GEAC,F1,Debrecen (HUN),2021.6.27
3:43.94,4,4,GEAC - Ikarus,F2,Székesfehérvár (HUN),2021.9.12
3:44.86,5,5,GEAC - IKARUS,F1,Debrecen (HUN),2021.5.16
3:47.70,6,6,SVSE,F1,Debrecen (HUN),2021.6.27
3:48.68,7,7,MTK Budapest,F2,Győr (HUN),2021.5.16
3:48.68,7,7,ARAK UP Akadémia,F1,Debrecen (HUN),2021.6.27
3:51.48,9,9,"ZALASZÁM-ZAC-SVSE ""A""",F2,Székesfehérvár (HUN),2021.9.12
3:51.75,10,10,Pannon Duo,F2,Győr (HUN),2021.5.16
3:53.82,11,11,BHSE,F1,Debrecen (HUN),2021.5.16
3:54.63,-,12,BHSE,F2,Székesfehérvár (HUN),2021.9.12
3:54.69,12,13,Konok Kunok,F2,Székesfehérvár (HUN),2021.9.12
3:54.86,-,14,MTK Budapest,F1,Debrecen (HUN),2021.6.27
3:54.91,13,15,BEAC A,F1,Debrecen (HUN),2021.6.27
3:55.14,-,16,"ZALASZÁM-ZAC-SVSE ""A""",F2,Győr (HUN),2021.5.16
3:55.53,14,17,UTE,F2,Debrecen (HUN),2021.6.27
3:56.47,15,18,Dunafok,F2,Székesfehérvár (HUN),2021.9.12
3:58.84,16,19,ZALASZÁM-ZAC,F2,Debrecen (HUN),2021.6.27
3:58.96,-,20,BEAC A,F2,Győr (HUN),2021.5.16
3:59.86,-,21,UTE,F1,Kecskemét (HUN),2021.5.08
4:00.14,-,22,SVSE,F1,Kecskemét (HUN),2021.5.08
4:01.42,17,23,"ZALASZÁM-ZAC-SVSE ""B""",F1,Székesfehérvár (HUN),2021.9.12
4:01.76,18,24,TFSE,F2,Debrecen (HUN),2021.6.27
4:03.06,19,25,VEDAC,F1,Kecskemét (HUN),2021.5.08
4:03.19,-,26,MTK Budapest,F1,Miskolc (HUN),2021.6.13
4:04.09,20,27,FTC,F2,Székesfehérvár (HUN),2021.9.12
4:04.59,-,28,FTC,F2,Győr (HUN),2021.5.16
4:04.91,21,29,Vasas A,F2,Győr (HUN),2021.5.16
4:04.94,22,30,Zalaszám-ZAC-SVSE,F1,Győr (HUN),2021.5.16
4:05.87,-,31,Pannon Duo,F2,Székesfehérvár (HUN),2021.9.12
4:05.99,-,32,ARAK UP Akadémia,F1,Kecskemét (HUN),2021.5.08
4:06.71,23,33,BEAC B,F2,Debrecen (HUN),2021.6.27
4:07.45,-,34,BEAC B,F1,Győr (HUN),2021.5.16
4:08.28,-,35,TFSE,F1,Debrecen (HUN),2021.5.16
4:08.81,-,36,Dunafok,F1,Debrecen (HUN),2021.5.16
4:11.73,-,37,Pannon Duo,F1,Székesfehérvár (HUN),2021.9.12
4:15.09,24,38,SavArrA,F2,Székesfehérvár (HUN),2021.9.12
4:17.16,-,39,ZALASZÁM-ZAC,F1,Kecskemét (HUN),2021.5.08
4:17.54,25,40,KSI SE,F1,Debrecen (HUN),2021.5.16
4:22.33,-,41,VEDAC,F2,Győr (HUN),2021.5.16
4:24.32,26,42,Győri Atlétikai Club,F1,Kecskemét (HUN),2021.5.08
4:25.53,27,43,Szekszárd-Dombóvár,F1,Győr (HUN),2021.5.16
4:29.53,28,44,BSC,F1,Győr (HUN),2021.5.16
4:32.37,29,45,Reménység Vác,F1,Kecskemét (HUN),2021.5.08
4:34.29,30,46,Albertirsai SE,F1,Debrecen (HUN),2021.5.16
4:34.34,-,47,Győri Atlétikai Club,F1,Kecskemét (HUN),2021.5.08
4:41.32,31,48,Csömöri Postások,F1,Debrecen (HUN),2021.5.16
4:48.01,-,49,Győri Atlétikai Club,F1,Miskolc (HUN),2021.6.13
3:29.39,1,1,Hungary,H1,München (GER),2022.8.19
3:32.56,2,2,HUN,F1,Miskolc (HUN),2022.7.1
3:41.45,-,3,HUN,F1,Győr (HUN),2022.8.05
3:42.84,3,4,MATE - GEAC,F1,Budapest (HUN),2022.6.26
3:46.43,-,5,MATE - GEAC,F2,Debrecen (HUN),2022.9.18
3:46.70,-,6,MATE - GEAC,F2,Miskolc (HUN),2022.5.15
3:48.98,4,7,SVSE,F1,Budapest (HUN),2022.6.26
3:50.12,5,8,BHSE,F1,Budapest (HUN),2022.6.26
3:50.72,6,9,ZALASZÁM-ZAC,F1,Budapest (HUN),2022.6.26
3:51.71,7,10,"BHSE ""A""",F2,Debrecen (HUN),2022.9.18
3:52.78,8,11,BEAC,F1,Budapest (HUN),2022.6.26
3:52.79,9,12,SVSE A,F2,Győr (HUN),2022.5.15
3:53.06,10,13,MTK Budapest,F2,Debrecen (HUN),2022.9.18
3:54.82,-,14,BHSE,F2,Miskolc (HUN),2022.5.15
3:54.93,11,15,Hungary U20,F,Maribor (SLO),2022.7.16
3:55.63,12,16,BEAC A,F2,Miskolc (HUN),2022.5.15
3:55.63,12,16,Vasas A,F2,Győr (HUN),2022.5.15
3:56.69,-,18,Vasas A,F2,Debrecen (HUN),2022.9.18
3:59.72,14,19,ARAK UP Akadémia,F1,Kecskemét (HUN),2022.5.07
4:00.18,-,20,ZALASZÁM-ZAC,F2,Győr (HUN),2022.5.15
4:00.71,-,21,SVSE,F2,Debrecen (HUN),2022.9.18
4:00.86,15,22,BEAC 1.,F1,Debrecen (HUN),2022.9.18
4:00.90,16,23,Vasas,F1,Miskolc (HUN),2022.7.1
4:02.09,17,24,Ute,F1,Budapest (HUN),2022.6.26
4:02.67,-,25,ARAK UP Akadémia,F2,Győr (HUN),2022.5.15
4:02.90,18,26,UTE,F1,Kecskemét (HUN),2022.5.07
4:04.21,19,27,Ikarus BSE,F2,Debrecen (HUN),2022.9.18
4:05.09,20,28,Győri Atlétikai Club,F1,Budapest (HUN),2022.6.26
4:05.97,-,29,UTE,F1,Debrecen (HUN),2022.9.18
4:07.29,21,30,TFSE,F2,Győr (HUN),2022.5.15
4:08.00,-,31,Győri Atlétikai Club,F2,Győr (HUN),2022.5.15
4:08.09,22,32,DVTK,F2,Miskolc (HUN),2022.5.15
4:09.27,-,33,Győri Atlétikai Club,F1,Kecskemét (HUN),2022.5.07
4:09.28,23,34,"BHSE ""B""",F1,Debrecen (HUN),2022.9.18
4:11.74,-,35,UTE,F2,Miskolc (HUN),2022.5.15
4:12.31,24,36,BEAC B,F1,Miskolc (HUN),2022.5.15
4:12.31,-,36,ARAK UP Akadémia,F1,Debrecen (HUN),2022.9.18
4:12.48,25,38,FTC,F2,Győr (HUN),2022.5.15
4:12.84,-,39,Győri Atlétikai Club,F1,Debrecen (HUN),2022.9.18
4:13.88,-,40,FTC,F2,Debrecen (HUN),2022.9.18
4:14.06,26,41,EVSI,F1,Miskolc (HUN),2022.5.15
4:14.85,27,42,KSI SE,F1,Miskolc (HUN),2022.5.15
4:17.83,28,43,INT,F1,Miskolc (HUN),2022.7.1
4:17.93,29,44,Vasas B,F1,Debrecen (HUN),2022.9.18
4:18.00,-,45,DVTK,F2,Debrecen (HUN),2022.9.18
4:18.05,30,46,VSD,F2,Miskolc (HUN),2022.5.15
4:19.87,31,47,Veresegyház VSK,F1,Kecskemét (HUN),2022.5.07
4:20.73,-,48,BEAC,F1,Miskolc (HUN),2022.7.1
4:21.35,-,49,SVSE,F1,Debrecen (HUN),2022.9.18
4:24.42,32,50,Keszthely VDSE,F1,Győr (HUN),2022.5.15
4:25.59,33,51,SVSE B,F1,Győr (HUN),2022.5.15
4:26.17,34,52,NYSC,F2,Miskolc (HUN),2022.5.15
4:28.91,35,53,Szolnoki MÁV-SE,F2,Miskolc (HUN),2022.5.15
4:29.98,36,54,Albertirsai SE,F1,Miskolc (HUN),2022.5.15
4:31.06,-,55,NYSC,F1,Kecskemét (HUN),2022.5.07
4:31.80,37,56,POSTÁS SE,F1,Miskolc (HUN),2022.5.15
4:51.97,38,57,Csömöri havasok,F1,Miskolc (HUN),2022.5.15
4:53.08,39,58,Reménység Vác,F1,Kecskemét (HUN),2022.5.07
3:40.08,1,1,MATE - GEAC,F1,Kecskemét (HUN),2023.9.03
3:43.09,2,2,MATE - GEAC 'A',F3,Budapest (HUN),2023.9.1
3:49.90,3,3,Vasas,F3,Budapest (HUN),2023.9.1
