Eredmény,A.h.,Er.h.,Csapat,Típus,Helyszín,Dátum
3:45.43,1,1,Hungary U23,F,Maribor (SLO),2016.7.15
3:46.60,2,2,BHSE-KSI SE,F2,Székesfehérvár (HUN),2016.9.11
3:48.05,3,3,Bp. Honvéd SE,F,Székesfehérvár (HUN),2016.7.31
3:48.44,4,4,DSC-SI - NYSC,F2,Debrecen (HUN),2016.5.15
3:49.61,5,5,GEAC-Ikarus BSE A,F2,Székesfehérvár (HUN),2016.9.11
3:50.21,6,6,Gödöllői EAC,F,Székesfehérvár (HUN),2016.7.31
3:50.89,7,7,DSC-SI,F,Székesfehérvár (HUN),2016.7.31
3:51.65,8,8,NYSC,F,Székesfehérvár (HUN),2016.7.31
3:51.72,9,9,Hungary U20,F,Miskolc (HUN),2016.7.01
3:52.61,-,10,DSC-SI - NYSC,F2,Székesfehérvár (HUN),2016.9.11
3:54.14,10,11,BO-KA,F1,Székesfehérvár (HUN),2016.9.11
3:54.24,-,12,GEAC-Ikarus BSE A,F2,Debrecen (HUN),2016.5.15
3:54.87,11,13,Pannon Duo,F2,Székesfehérvár (HUN),2016.9.11
3:55.24,12,14,Bakony-Balaton Team,F1,Székesfehérvár (HUN),2016.9.11
3:56.23,-,15,Pannon Duo,F1,Szekszárd (HUN),2016.5.15
3:56.74,-,16,BHSE-KSI SE,F2,Debrecen (HUN),2016.5.15
3:58.01,13,17,SZIE,F,Miskolc (HUN),2016.5.29
3:58.48,14,18,Gödöllöi EAC U18,F,Budapest (HUN),2016.5.21
3:58.75,15,19,UTE-MTK,F2,Székesfehérvár (HUN),2016.9.11
3:58.85,16,20,KSI SE,F,Székesfehérvár (HUN),2016.7.31
3:59.29,17,21,Győri AC,F,Székesfehérvár (HUN),2016.7.31
3:59.65,18,22,GEAC-Ikarus BSE B,F1,Székesfehérvár (HUN),2016.9.11
3:59.99,19,23,Favorit AC,F,Székesfehérvár (HUN),2016.7.31
4:00.72,-,24,GEAC-Ikarus BSE B,F2,Debrecen (HUN),2016.5.15
4:00.81,20,25,Ikarus BSE,F,Székesfehérvár (HUN),2016.7.31
4:01.57,-,26,Bakony-Balaton Team,F2,Szekszárd (HUN),2016.5.15
4:01.57,21,26,VEDAC U20,F,Budapest (HUN),2016.5.21
4:01.61,22,28,Ikarus BSE U18,F,Budapest (HUN),2016.5.21
4:01.79,-,29,BO-KA,F1,Szekszárd (HUN),2016.5.15
4:03.47,23,30,TE,F,Miskolc (HUN),2016.5.29
4:04.93,24,31,Pannónia Príma,F2,Székesfehérvár (HUN),2016.9.11
4:08.47,25,32,VASAS-TFSE,F1,Szekszárd (HUN),2016.5.15
4:08.47,25,32,ARAK UP Akadémia U18,F,Budapest (HUN),2016.5.21
4:09.95,-,34,VASAS-TFSE,F1,Székesfehérvár (HUN),2016.9.11
4:10.70,27,35,DE,F,Miskolc (HUN),2016.5.29
4:11.13,28,36,Viharsarok,F2,Debrecen (HUN),2016.5.15
4:11.15,29,37,Gödöllői EAC U20,F,Budapest (HUN),2016.5.21
4:11.61,-,38,Viharsarok,F1,Székesfehérvár (HUN),2016.9.11
4:11.71,30,39,NYSC U18,F,Budapest (HUN),2016.5.21
4:12.74,31,40,Békési DAC,F1,Debrecen (HUN),2016.5.15
4:13.54,32,41,Bp. Honvéd SE U23,F,Szombathely (HUN),2016.6.26
4:16.41,33,42,Haladás VSE U20,F,Budapest (HUN),2016.5.21
4:17.70,34,43,Dombóvár,F2,Szekszárd (HUN),2016.5.15
4:22.89,35,44,Budaörsi DSE U18,F,Budapest (HUN),2016.5.21
4:23.22,36,45,HÓDIÁK,F1,Debrecen (HUN),2016.5.15
4:23.47,-,46,Pannónia Príma,F1,Szekszárd (HUN),2016.5.15
4:25.98,37,47,PTE,F,Miskolc (HUN),2016.5.29
4:26.90,38,48,BO-KA B,F2,Szekszárd (HUN),2016.5.15
4:30.35,39,49,Zalaszám-ZAC U23,F,Szombathely (HUN),2016.6.26
4:38.01,40,50,Mecsekalja,F1,Szekszárd (HUN),2016.5.15
4:41.52,41,51,MAC,F1,Debrecen (HUN),2016.5.15
4:42.94,42,52,Keszthelyi VDSE,F2,Szekszárd (HUN),2016.5.15
4:44.31,43,53,Hungary,F,Šamorín (SVK),2016.6.04
3:35.77,1,1,Hungary,F,Tel Aviv (ISR),2017.6.25
3:39.33,2,2,Hungary U23,F,Bydgoszcz (POL),2017.7.16
3:43.54,3,3,Bp. Honvéd SE,F,Székesfehérvár (HUN),2017.6.11
3:45.00,-,4,Bp. Honvéd SE,F2,Miskolc (HUN),2017.5.13
3:46.28,-,5,Bp. Honvéd SE,F2,Székesfehérvár (HUN),2017.9.1
3:47.13,4,6,VEDAC,F,Székesfehérvár (HUN),2017.6.11
3:47.74,5,7,Győri AC,F,Székesfehérvár (HUN),2017.6.11
3:49.46,6,8,Bakony-Balaton Team,F2,Székesfehérvár (HUN),2017.9.1
3:51.08,7,9,DSC-SI - NYSC,F2,Miskolc (HUN),2017.5.13
3:51.67,-,10,Bakony-Balaton Team,F,Szekszárd (HUN),2017.5.14
3:51.80,8,11,Hungary U20,F,Trnava (SVK),2017.7.06
3:53.40,9,12,GEAC-Ikarus BSE,F2,Miskolc (HUN),2017.5.13
3:54.51,-,13,DSC-SI - NYSC,F2,Székesfehérvár (HUN),2017.9.1
3:56.07,10,14,KSI SE,F,Székesfehérvár (HUN),2017.6.11
3:56.14,11,15,Pannon Duo,F2,Székesfehérvár (HUN),2017.9.1
3:58.18,12,16,Bp. Honvéd SE U20,F,Budapest (HUN),2017.9.16
3:58.97,13,17,SavArra,F2,Székesfehérvár (HUN),2017.9.1
3:59.22,14,18,Budapest VI. ker. Kölcsey Gimnázium,F1,Székesfehérvár (HUN),2017.5.28
3:59.33,-,19,GEAC-Ikarus BSE,F2,Székesfehérvár (HUN),2017.9.1
3:59.58,15,20,Székesfehérvár - Tóparti Gimnázium,F1,Székesfehérvár (HUN),2017.5.28
3:59.99,16,21,Győr Bercsényi Miklós Középiskola,F1,Székesfehérvár (HUN),2017.5.28
4:01.72,17,22,Bp. Honvéd SE U23,F,Budapest (HUN),2017.6.18
4:01.88,18,23,Veszprém Vetési Albert Gimnázium,F1,Székesfehérvár (HUN),2017.5.28
4:02.21,19,24,FTC U18,F,Budapest (HUN),2017.9.16
4:02.58,20,25,Ikarus BSE U20,F,Budapest (HUN),2017.9.16
4:03.34,21,26,UTE-MTK,F,Szekszárd (HUN),2017.5.14
4:04.72,22,27,ARAK UP Akadémia U18,F,Budapest (HUN),2017.9.16
4:05.07,23,28,BEAC,F,Székesfehérvár (HUN),2017.6.11
4:05.94,24,29,Gödöllöi EAC U18,F,Budapest (HUN),2017.9.16
4:06.02,25,30,UTE U20,F,Budapest (HUN),2017.9.16
4:06.27,26,31,Vasas U18,F,Budapest (HUN),2017.9.16
4:06.93,-,32,KSI SE,F1,Miskolc (HUN),2017.5.14
4:07.44,27,33,FTC,F2,Székesfehérvár (HUN),2017.9.1
4:07.69,-,34,SavArra,F,Szekszárd (HUN),2017.5.14
4:08.36,28,35,FTC A,F2,Miskolc (HUN),2017.5.13
4:09.10,29,36,Miskolc Diósgyőri Gimnázium,F2,Székesfehérvár (HUN),2017.5.28
4:09.89,-,37,UTE-MTK,F2,Székesfehérvár (HUN),2017.9.1
4:11.88,30,38,VASAS-TFSE,F,Szekszárd (HUN),2017.5.14
4:12.99,31,39,TE,F,Miskolc (HUN),2017.5.28
4:13.19,32,40,Békéscsaba Andrássy Gyula Gimn.,F2,Székesfehérvár (HUN),2017.5.28
4:14.13,33,41,Viharsarok,F1,Székesfehérvár (HUN),2017.9.1
4:14.15,34,42,Bonyhád Petőfi Sándor Gimnázium,F1,Székesfehérvár (HUN),2017.5.28
4:14.86,35,43,Pannónia Príma,F1,Székesfehérvár (HUN),2017.9.1
4:15.31,-,44,Viharsarok,F2,Miskolc (HUN),2017.5.13
4:15.39,36,45,Békési DAC,F1,Miskolc (HUN),2017.5.14
4:15.99,37,46,Budapest Kőbányai Szent László Gimn.,F1,Székesfehérvár (HUN),2017.5.28
4:17.78,-,47,Pannónia Príma,F,Szekszárd (HUN),2017.5.14
4:20.19,38,48,Szekszárd-Mohács,F,Szekszárd (HUN),2017.5.14
4:22.63,39,49,Dombóvári Illyés Gyula Gimnázium,F2,Székesfehérvár (HUN),2017.5.28
4:26.71,40,50,Nyíregyháza Vasvári Pál Gimnázium,F2,Székesfehérvár (HUN),2017.5.28
4:34.25,41,51,Budapesti Vendéglátóipari SZC Kanizsay Dorottya Szakképző Iskolája,F2,Székesfehérvár (HUN),2017.5.28
4:35.13,42,52,SZTE,F,Miskolc (HUN),2017.5.28
4:35.47,43,53,HÓDIÁK,F1,Miskolc (HUN),2017.5.14
4:36.49,44,54,Dunamentiek,F2,Miskolc (HUN),2017.5.13
4:41.08,45,55,Albertirsa - Ócsa SE,F1,Miskolc (HUN),2017.5.14
4:41.96,46,56,BEAC U23,F,Budapest (HUN),2017.6.18
4:43.34,47,57,Mecsekalja,F,Szekszárd (HUN),2017.5.14
4:54.11,48,58,MAC,F1,Miskolc (HUN),2017.5.14
3:38.49,1,1,női U20 válogatott,H1,Tampere (FIN),2018.7.14
3:47.90,2,2,GEAC-IKARUS,F1,Székesfehérvár (HUN),2018.9.09
3:49.48,3,3,Bp. Honvéd SE,F1,Székesfehérvár (HUN),2018.6.24
3:50.62,4,4,ARAK UP Akadémia,F1,Székesfehérvár (HUN),2018.6.24
3:52.66,5,5,SVSE,F1,Székesfehérvár (HUN),2018.6.24
3:53.16,6,6,GEAC - IKARUS,F1,Miskolc (HUN),2018.5.13
3:53.78,7,7,SVSE A,F1,Zalaegerszeg (HUN),2018.5.13
3:53.89,8,8,Hungary U23,F,Kraków (POL),2018.7.08
3:54.79,9,9,Pannon Duo,F1,Zalaegerszeg (HUN),2018.5.13
3:55.00,10,10,Hungary U20,F,Vyskov (CZE),2018.6.16
3:55.67,-,11,SVSE,F1,Székesfehérvár (HUN),2018.9.09
3:57.60,11,12,BEAC,F1,Székesfehérvár (HUN),2018.6.24
3:57.63,12,13,BHSE,F1,Székesfehérvár (HUN),2018.9.09
3:58.87,-,14,SVSE,F1,Miskolc (HUN),2018.6.1
4:00.83,-,15,ARAK UP Akadémia,F1,Székesfehérvár (HUN),2018.9.09
4:01.09,13,16,KARC,F1,Miskolc (HUN),2018.5.13
4:01.30,-,17,KARC,F2,Székesfehérvár (HUN),2018.9.09
4:01.83,14,18,ZALASZÁM-ZAC,F1,Székesfehérvár (HUN),2018.6.24
4:02.35,15,19,DSC-SI - NYSC,F1,Székesfehérvár (HUN),2018.9.09
4:02.40,-,20,ARAK UP Akadémia,F1,Miskolc (HUN),2018.6.1
4:03.40,16,21,SavArrA,F1,Zalaegerszeg (HUN),2018.5.13
4:03.71,17,22,FTC,F1,Szekszárd (HUN),2018.9.15
4:03.85,-,23,Bp. Honvéd SE,F1,Miskolc (HUN),2018.6.1
4:04.36,-,24,KARC,F1,Szekszárd (HUN),2018.9.15
4:05.95,18,25,Vasas 2,F2,Zalaegerszeg (HUN),2018.5.13
4:06.17,19,26,"FTC ""A""",F1,Székesfehérvár (HUN),2018.9.09
4:06.53,20,27,Pannónia Príma,F1,Székesfehérvár (HUN),2018.9.09
4:07.11,21,28,SZVSE,F1,Miskolc (HUN),2018.5.13
4:07.58,22,29,Vasas,F1,Szekszárd (HUN),2018.9.15
4:08.33,-,30,FTC,F1,Zalaegerszeg (HUN),2018.5.13
4:09.42,-,31,SVSE,F1,Székesfehérvár (HUN),2018.6.24
4:12.27,23,32,Favorit AC,F2,Zalaegerszeg (HUN),2018.5.13
4:12.64,-,33,BHSE,F1,Szekszárd (HUN),2018.9.15
4:14.11,24,34,Vasas 1,F1,Zalaegerszeg (HUN),2018.5.13
4:14.68,25,35,TFSE,F1,Miskolc (HUN),2018.5.13
4:15.23,-,36,Pannónia Príma,F1,Zalaegerszeg (HUN),2018.5.13
4:17.07,26,37,KSI SE,F1,Székesfehérvár (HUN),2018.6.24
4:17.44,27,38,Békéscsabai AC,F1,Székesfehérvár (HUN),2018.9.09
4:17.53,28,39,SZoESE,F1,Zalaegerszeg (HUN),2018.5.13
4:17.65,29,40,SVSE B,F2,Zalaegerszeg (HUN),2018.5.13
4:17.68,30,41,Békési DAC,F1,Miskolc (HUN),2018.5.13
4:18.99,-,42,SVSE B,F2,Székesfehérvár (HUN),2018.9.09
4:22.52,-,43,TFSE,F1,Miskolc (HUN),2018.6.1
4:22.81,-,44,SVSE,F1,Szekszárd (HUN),2018.9.15
4:23.20,31,45,Dunamentiek,F1,Miskolc (HUN),2018.5.13
4:23.23,32,46,"FTC ""B""",F2,Székesfehérvár (HUN),2018.9.09
4:36.80,33,47,PVSK,F2,Zalaegerszeg (HUN),2018.5.13
4:41.43,34,48,HÓDIÁK SE,F1,Miskolc (HUN),2018.5.13
4:46.40,35,49,Szekszárdi Sportközpont Nkft.,F2,Zalaegerszeg (HUN),2018.5.13
4:53.48,36,50,Keszthely VDSE,F2,Zalaegerszeg (HUN),2018.5.13
3:48.49,1,1,GEAC-IKARUS,F2,Székesfehérvár (HUN),2019.9.08
3:49.88,2,2,HUN,F1,Győr (HUN),2019.7.07
3:51.62,3,3,"GEAC - IKARUS ""A""",F2,Miskolc (HUN),2019.5.12
3:53.37,4,4,ARAK UP Akadémia,F2,Székesfehérvár (HUN),2019.9.08
3:53.80,-,5,ARAK UP Akadémia,F2,Győr (HUN),2019.5.12
3:53.90,5,6,Sportolj Velünk! - Veszprém - Győr /A,F2,Győr (HUN),2019.5.12
3:56.36,6,7,Dunafok,F2,Győr (HUN),2019.5.12
3:56.54,7,8,KARC,F2,Miskolc (HUN),2019.5.12
3:57.79,8,9,BHSE,F2,Székesfehérvár (HUN),2019.9.08
3:57.88,9,10,SVSE,F1,Budapest (HUN),2019.6.16
3:58.85,10,11,DSC-SI - NYSC,F2,Székesfehérvár (HUN),2019.9.08
3:58.94,11,12,Vasas,F1,Zalaegerszeg (HUN),2019.6.02
3:59.27,12,13,"GEAC - Ikarus ""B""",F1,Miskolc (HUN),2019.5.12
3:59.62,-,14,SVSE,F1,Budapest (HUN),2019.7.28
4:03.34,-,15,KARC,F1,Székesfehérvár (HUN),2019.9.08
4:03.82,-,16,DSC-SI - NYSC,F2,Miskolc (HUN),2019.5.12
4:04.03,-,17,Vasas,F2,Győr (HUN),2019.5.12
4:04.47,13,18,"Sportolj Velünk! ""A""",F1,Székesfehérvár (HUN),2019.9.08
4:05.80,14,19,FTC,F2,Győr (HUN),2019.5.12
4:05.89,-,20,FTC,F2,Székesfehérvár (HUN),2019.9.08
4:06.99,15,21,TFSE,F1,Budapest (HUN),2019.6.16
4:07.32,16,22,TFSE A,F2,Miskolc (HUN),2019.5.12
4:07.32,-,22,SVSE,F1,Zalaegerszeg (HUN),2019.6.02
4:08.79,17,24,SavArrA,F2,Székesfehérvár (HUN),2019.9.08
4:09.41,-,25,TFSE,F1,Budapest (HUN),2019.7.28
4:09.47,18,26,Békéscsabai AC,F1,Székesfehérvár (HUN),2019.9.08
4:10.02,19,27,HÓDIÁK SE,F2,Miskolc (HUN),2019.5.12
4:13.13,20,28,MTK Budapest,F2,Győr (HUN),2019.5.12
4:13.29,21,29,Egri Sportiskola SE,F2,Miskolc (HUN),2019.5.12
4:13.89,22,30,KSI SE,F2,Miskolc (HUN),2019.5.12
4:14.24,23,31,Sportolj Velünk! - Veszprém - Győr /B,F1,Győr (HUN),2019.5.12
4:14.80,-,32,Békéscsabai AC,F2,Miskolc (HUN),2019.5.12
4:17.84,24,33,ZALASZÁM-ZAC,F1,Zalaegerszeg (HUN),2019.6.02
4:19.47,25,34,Pannónia Príma,F1,Székesfehérvár (HUN),2019.9.08
4:20.11,-,35,SavArrA,F2,Győr (HUN),2019.5.12
4:20.18,26,36,Békési DAC,F1,Miskolc (HUN),2019.5.12
4:22.07,27,37,SZoESE,F1,Győr (HUN),2019.5.12
4:23.52,28,38,Bakony Balaton Team,F1,Győr (HUN),2019.5.12
4:26.27,29,39,"Sportolj Velünk! ""B""",F1,Székesfehérvár (HUN),2019.9.08
4:39.55,30,40,Albertirsai SE,F1,Miskolc (HUN),2019.5.12
4:41.43,31,41,MAFC,F1,Miskolc (HUN),2019.5.12
4:59.98,32,42,Keszthely VDSE,F1,Győr (HUN),2019.5.12
5:06.06,33,43,Csömöri Postások,F1,Miskolc (HUN),2019.5.12
3:44.03,1,1,"GEAC - IKARUS ""A""",F1,Székesfehérvár (HUN),2020.9.06
3:45.94,2,2,GEAC,F2,Budapest (HUN),2020.8.09
3:47.58,3,3,SVSE,F2,Budapest (HUN),2020.8.09
3:47.58,3,3,Pannon Duo,F1,Székesfehérvár (HUN),2020.9.06
3:48.29,5,5,ARAK UP Akadémia,F2,Budapest (HUN),2020.8.09
3:52.39,6,6,Sportolj Velünk! - A csapat,F1,Székesfehérvár (HUN),2020.9.06
3:52.93,7,7,FTC,F2,Budapest (HUN),2020.8.09
3:53.24,8,8,Ikarus BSE,F1,Budapest (HUN),2020.8.09
3:53.83,9,9,"GEAC - IKARUS ""B""",F3,Székesfehérvár (HUN),2020.9.06
3:54.34,10,10,Vasas,F2,Székesfehérvár (HUN),2020.9.06
3:55.02,11,11,Horn-Bercsényi DSE,F2,Budapest (HUN),2020.8.09
3:56.35,12,12,BEAC A,F2,Székesfehérvár (HUN),2020.9.06
3:56.99,13,13,MTK Budapest,F1,Székesfehérvár (HUN),2020.9.06
