Eredmény,Szél,A.h.,Er.h.,Atléta,Szül,Klub,Típus,Helyszín,Dátum
10.5,-1.7,1,1,Skriván Bíbor,3,PSN - Pécsi Sportiskola,H3,Debrecen (HUN),2016.7.09
10.54,-0.6,2,2,Gimesi Kata,3,ARAK,H5,Debrecen (HUN),2016.7.09
10.58,0.4,-,3,Gimesi Kata,3,ARAK,H3,Budapest (HUN),2016.6.24
10.58,-1.7,3,3,Kovács Boglárka,3,Titán TC,H3,Debrecen (HUN),2016.7.09
10.65,-0.5,-,5,Gimesi Kata,3,ARAK,F,Budapest (HUN),2016.6.24
10.72,1.2,4,6,Bognár Anna,3,UTE,H1,Debrecen (HUN),2016.7.09
10.78,0.0,5,7,Mohai Regina,3,ARAK,H2,Budapest (HUN),2016.6.24
10.8,-1.4,6,8,Odor Fanni,3,BEAC,F1,Tiszaújváros (HUN),2016.4.3
10.85,-0.1,-,9,Bognár Anna,3,UTE,F2,Tiszaújváros (HUN),2016.4.3
10.85,0.0,7,9,Szalai Réka,3,MMAC,H2,Budapest (HUN),2016.6.24
10.85,-0.5,-,9,Mohai Regina,3,ARAK,F,Budapest (HUN),2016.6.24
10.85,-0.5,-,9,Bognár Anna,3,UTE,F,Budapest (HUN),2016.6.24
10.85,0.4,-,9,Bognár Anna,3,UTE,H3,Budapest (HUN),2016.6.24
10.85,-1.7,7,9,Nagy Vanessza,3,Szolnoki SC-SI,H4,Debrecen (HUN),2016.7.09
10.88,0.0,-,15,Szalai Réka,3,MMAC,H2,Debrecen (HUN),2016.7.09
10.9,-0.8,9,16,Szikossy Szilvia,3,FTC,H1,Budapest (HUN),2016.6.24
10.94,-0.5,-,17,Szalai Réka,3,MMAC,F,Budapest (HUN),2016.6.24
10.94,1.2,10,17,Fodor Eugénia,3,PSN - Pécsi Sportiskola,H1,Debrecen (HUN),2016.7.09
10.98,-0.2,11,19,Garamvölgyi Petra,3,PSN - Pécsi Sportiskola,F2,Debrecen (HUN),2016.7.09
11.01,0.0,-,20,Szikossy Szilvia,3,FTC,H2,Debrecen (HUN),2016.7.09
11.19,0.0,12,21,Nemes Nóra,3,FTC,H2,Budapest (HUN),2016.6.24
11.22,-1.7,-,22,Garamvölgyi Petra,3,PSN - Pécsi Sportiskola,H3,Debrecen (HUN),2016.7.09
11.23,0.4,13,23,Förhécz Réka,3,Vasas,H3,Budapest (HUN),2016.6.24
11.27,0.4,14,24,Kiss Gabriella,3,ARAK,H3,Budapest (HUN),2016.6.24
11.27,-0.2,-,24,Nemes Nóra,3,FTC,F2,Debrecen (HUN),2016.7.09
11.28,-0.5,-,26,Nemes Nóra,3,FTC,F,Budapest (HUN),2016.6.24
11.28,-0.5,-,26,Förhécz Réka,3,Vasas,F,Budapest (HUN),2016.6.24
11.29,-1.7,-,28,Nemes Nóra,3,FTC,H4,Debrecen (HUN),2016.7.09
11.33,0.0,15,29,Bajnóczi Sára,3,ZALASZÁM-ZAC,H2,Debrecen (HUN),2016.7.09
11.33,-0.2,15,29,Bartha Lilla,3,UTE,F2,Debrecen (HUN),2016.7.09
11.34,1.2,17,31,Vajda Virág,3,A-Plast Ikarus BSE,H1,Debrecen (HUN),2016.7.09
11.35,0.0,-,32,Bartha Lilla,3,UTE,H2,Debrecen (HUN),2016.7.09
11.35,-0.2,18,32,Dobi Beatrix,3,DSC-SI,F2,Debrecen (HUN),2016.7.09
11.36,-0.5,-,34,Kiss Gabriella,3,ARAK,F,Budapest (HUN),2016.6.24
11.38,0.0,-,35,Dobi Beatrix,3,DSC-SI,H2,Debrecen (HUN),2016.7.09
11.39,-0.8,19,36,Csőke Letícia,3,Egri Sportiskola SE,H1,Budapest (HUN),2016.6.24
11.39,-1.7,19,36,Vágó Dóra,3,DSC-SI,H4,Debrecen (HUN),2016.7.09
11.4,-1.4,21,38,Chrobák Lili,3,DSC-SI,F1,Tiszaújváros (HUN),2016.4.3
11.4,-0.2,-,38,Vajda Virág,3,A-Plast Ikarus BSE,F2,Debrecen (HUN),2016.7.09
11.41,0.0,22,40,Szeredi Luca,3,FTC,H2,Budapest (HUN),2016.6.24
11.41,-0.6,-,40,Szeredi Luca,3,FTC,H5,Debrecen (HUN),2016.7.09
11.41,-0.2,-,40,Vágó Dóra,3,DSC-SI,F2,Debrecen (HUN),2016.7.09
11.41,-1.7,22,40,Ivanovics Réka,3,Vasas,H4,Debrecen (HUN),2016.7.09
11.44,-1.7,24,44,Kruzslicz Amira,3,HÓDIÁK SE,H4,Debrecen (HUN),2016.7.09
11.44,-0.2,-,44,Bajnóczi Sára,3,ZALASZÁM-ZAC,F2,Debrecen (HUN),2016.7.09
11.46,-0.1,-,46,Vágó Dóra,3,DSC-SI,F2,Tiszaújváros (HUN),2016.4.3
11.46,0.0,25,46,Pető Antónia,3,Mezőtúri AC,H2,Debrecen (HUN),2016.7.09
11.47,-0.6,-,48,Csőke Letícia,3,Egri Sportiskola SE,H5,Debrecen (HUN),2016.7.09
11.48,0.0,26,49,Novák Kíra,3,MATE - GEAC,H2,Budapest (HUN),2016.6.24
11.51,0.0,-,50,Bajnóczi Sára,3,ZALASZÁM-ZAC,H2,Budapest (HUN),2016.6.24
11.57,0.4,27,51,Saás Dorka,3,MTK Budapest,H3,Budapest (HUN),2016.6.24
11.58,0.0,28,52,Lovas Bernadett,3,Hajdúböszörményi TE,F3,Tiszaújváros (HUN),2016.4.3
11.62,0.0,29,53,Krámer Zita,3,A-Plast Ikarus BSE,H2,Debrecen (HUN),2016.7.09
11.63,-0.6,30,54,Szilágyi Zsófia,3,NYSC,H5,Debrecen (HUN),2016.7.09
