Eredmény,Szél,A.h.,Er.h.,Atléta,Szül,Klub,Típus,Helyszín,Dátum
10.1,0.0,1,1,Bíró Máté,3,Egri Sportiskola SE,F1,Debrecen (HUN),2016.7.09
10.14,0.0,2,2,Hicsár Zoltán,3,NYSC,F1,Debrecen (HUN),2016.7.09
10.14,-1.2,-,2,Hicsár Zoltán,3,NYSC,H1,Debrecen (HUN),2016.7.09
10.25,1.5,-,4,Bíró Máté,3,Egri Sportiskola SE,F1,Tiszaújváros (HUN),2016.4.3
10.32,0.0,3,5,Harmati Balázs,3,Szolnoki SC-SI,F1,Debrecen (HUN),2016.7.09
10.35,-0.2,-,6,Bíró Máté,3,Egri Sportiskola SE,H4,Debrecen (HUN),2016.7.09
10.49,0.0,4,7,Pongó Szabolcs,3,NYSC,F1,Debrecen (HUN),2016.7.09
10.5,0.0,5,8,Horváth Zsombor,3,HSZSE,F1,Debrecen (HUN),2016.7.09
10.51,-1.2,6,9,Nyikora László,3,Ócsa SE,H1,Debrecen (HUN),2016.7.09
10.54,0.0,-,10,Nyikora László,3,Ócsa SE,F1,Debrecen (HUN),2016.7.09
10.59,0.0,7,11,Arany Gergő,3,DSC-SI,F2,Tiszaújváros (HUN),2016.4.3
10.6,-0.3,8,12,Ujj Norbert,3,A-Plast Ikarus BSE,F,Budapest (HUN),2016.6.24
10.63,-0.3,9,13,Bakó Martin,3,Csepeli DAC,F,Budapest (HUN),2016.6.24
10.63,-0.3,9,13,Nabilek Péter,3,KSI SE,F,Budapest (HUN),2016.6.24
10.64,1.5,-,15,Nabilek Péter,3,KSI SE,F1,Tiszaújváros (HUN),2016.4.3
10.64,-0.7,-,15,Pongó Szabolcs,3,NYSC,H2,Debrecen (HUN),2016.7.09
10.66,-2.7,-,17,Harmati Balázs,3,Szolnoki SC-SI,H3,Debrecen (HUN),2016.7.09
10.67,-0.8,-,18,Nabilek Péter,3,KSI SE,H3,Budapest (HUN),2016.6.24
10.68,-0.2,-,19,Bakó Martin,3,Csepeli DAC,H1,Budapest (HUN),2016.6.24
10.71,-0.8,-,20,Ujj Norbert,3,A-Plast Ikarus BSE,H3,Budapest (HUN),2016.6.24
10.73,-2.7,-,21,Horváth Zsombor,3,HSZSE,H3,Debrecen (HUN),2016.7.09
10.76,1.5,11,22,Némethy Szabolcs,3,BHSE,F1,Tiszaújváros (HUN),2016.4.3
10.78,-0.2,12,23,Ecker Dávid,3,Szombathelyi SI,H4,Debrecen (HUN),2016.7.09
10.79,-1.2,13,24,Szabó-Mester István,3,CVSE,H1,Debrecen (HUN),2016.7.09
10.81,-0.2,14,25,Csontos Máté,3,DSC-SI,H4,Debrecen (HUN),2016.7.09
10.82,-2.7,-,26,Ujj Norbert,3,A-Plast Ikarus BSE,H3,Debrecen (HUN),2016.7.09
10.84,0.0,-,27,Ecker Dávid,3,Szombathelyi SI,F1,Debrecen (HUN),2016.7.09
10.85,-1.2,15,28,Csiszár Soma,3,ZALASZÁM-ZAC,H1,Debrecen (HUN),2016.7.09
10.86,0.0,-,29,Szabó-Mester István,3,CVSE,F1,Debrecen (HUN),2016.7.09
10.89,-0.7,-,30,Nabilek Péter,3,KSI SE,H2,Debrecen (HUN),2016.7.09
10.92,0.0,-,31,Bakó Martin,3,Csepeli DAC,F2,Tiszaújváros (HUN),2016.4.3
10.93,-0.2,16,32,Csikós Mihály,3,BHSE,H1,Budapest (HUN),2016.6.24
10.95,-0.8,17,33,Károlyi Soma,3,ARAK,H3,Budapest (HUN),2016.6.24
10.98,-0.2,-,34,Némethy Szabolcs,3,BHSE,H1,Budapest (HUN),2016.6.24
10.98,-0.1,-,34,Szabó-Mester István,3,CVSE,H2,Budapest (HUN),2016.6.24
10.99,-0.2,18,36,Ajkler Ákos,3,MATE - GEAC,H4,Debrecen (HUN),2016.7.09
11.01,-0.3,-,37,Csikós Mihály,3,BHSE,F,Budapest (HUN),2016.6.24
11.02,-1.2,19,38,Bondár Barnabás,3,TSC-Geotech,H1,Debrecen (HUN),2016.7.09
11.06,-0.2,20,39,Dudás Dániel,3,A-Plast Ikarus BSE,H4,Debrecen (HUN),2016.7.09
11.09,-0.7,21,40,Csornai János,3,ARAK,H2,Debrecen (HUN),2016.7.09
11.1,-0.2,-,41,Dudás Dániel,3,A-Plast Ikarus BSE,H1,Budapest (HUN),2016.6.24
11.11,-0.3,-,42,Szabó-Mester István,3,CVSE,F,Budapest (HUN),2016.6.24
11.11,-0.3,-,42,Dudás Dániel,3,A-Plast Ikarus BSE,F,Budapest (HUN),2016.6.24
11.13,1.5,22,44,Kazár András,3,NYSC,F1,Tiszaújváros (HUN),2016.4.3
11.14,-0.1,23,45,Bolla Gergő,3,ARAK,H2,Budapest (HUN),2016.6.24
11.14,-0.8,23,45,Tóth Kristóf,3,BHSE,H3,Budapest (HUN),2016.6.24
11.16,-2.7,-,47,Károlyi Soma,3,ARAK,H3,Debrecen (HUN),2016.7.09
11.17,-0.2,-,48,Bondár Barnabás,3,TSC-Geotech,H1,Budapest (HUN),2016.6.24
11.22,-0.3,-,49,Károlyi Soma,3,ARAK,F,Budapest (HUN),2016.6.24
11.23,-0.1,25,50,Zsuppán Bence,3,ZALASZÁM-ZAC,H2,Budapest (HUN),2016.6.24
11.27,-0.7,-,51,Bolla Gergő,3,ARAK,H2,Debrecen (HUN),2016.7.09
11.27,-1.2,-,51,Tóth Kristóf,3,BHSE,H1,Debrecen (HUN),2016.7.09
11.3,-0.7,26,53,Gálpál Zsombor,3,A-Plast Ikarus BSE,H2,Debrecen (HUN),2016.7.09
11.39,-0.3,-,54,Némethy Szabolcs,3,BHSE,F,Budapest (HUN),2016.6.24
11.45,0.0,-,55,Tóth Kristóf,3,BHSE,F2,Tiszaújváros (HUN),2016.4.3
11.46,-2.7,-,56,Kazár András,3,NYSC,H3,Debrecen (HUN),2016.7.09
11.47,-0.2,27,57,Török Bálint,3,KSI SE,H4,Debrecen (HUN),2016.7.09
11.49,-0.8,28,58,Mészáros Zsolt,3,TSC-Geotech,H3,Budapest (HUN),2016.6.24
11.61,0.0,29,59,Kapusi Dominik,3,Tiszaújvárosi SC,F2,Tiszaújváros (HUN),2016.4.3
11.8,1.5,30,60,Hisstek Barnabás,3,BEAC,F1,Tiszaújváros (HUN),2016.4.3
11.82,-0.1,31,61,Ladányi Viktor,3,MATE - GEAC,H2,Budapest (HUN),2016.6.24
11.84,1.5,32,62,Barta Balázs,3,Dunakeszi VSE,F1,Tiszaújváros (HUN),2016.4.3
11.85,-0.1,33,63,Bánházi Botond,3,A-Plast Ikarus BSE,H2,Budapest (HUN),2016.6.24
