Eredmény,Szél,A.h.,Er.h.,Atléta,Szül,Klub,Típus,Helyszín,Dátum
8.78,0.0,-,77,Bacsa Fanni,1,DVTK,H2,Nyíregyháza (HUN),2024.2.18
8.8,0.0,-,80,Bacsa Fanni,1,DVTK,F1,Budapest (HUN),2024.2.03
8.81,0.0,-,81,Gál Nikolett,4,DVTK,F1,Budapest (HUN),2024.2.1
8.83,0.0,13,82,Lalik Petra,6,DVTK,F1,Budapest (HUN),2024.2.1
8.84,0.0,-,83,Bacsa Fanni,1,DVTK,H1,Budapest (HUN),2024.2.1
8.85,0.0,-,84,Bacsa Fanni,1,DVTK,H3,Budapest (HUN),2024.2.03
8.88,0.0,-,85,Lalik Petra,6,DVTK,F1,Nyíregyháza (HUN),2024.2.25
8.89,0.0,-,86,Bacsa Fanni,1,DVTK,H1,Nyíregyháza (HUN),2024.1.27
8.9,0.0,-,87,Lalik Petra,6,DVTK,F1,Nyíregyháza (HUN),2024.1.27
8.9,0.0,-,87,Gál Nikolett,4,DVTK,H2,Budapest (HUN),2024.2.1
8.97,0.0,14,89,Decker Szonja,2,Vasas,H1,Nyíregyháza (HUN),2024.2.18
8.97,0.0,-,89,Lalik Petra,6,DVTK,H2,Nyíregyháza (HUN),2024.2.25
8.98,0.0,-,91,Lalik Petra,6,DVTK,H1,Nyíregyháza (HUN),2024.1.27
9.03,0.0,-,92,Lalik Petra,6,DVTK,H2,Budapest (HUN),2024.2.1
9.04,0.0,-,93,Decker Szonja,2,Vasas,H1,Budapest (HUN),2024.2.1
9.04,0.0,15,93,Kiricsi Berill,97,Kőszegi Lóránt FC,H2,Nyíregyháza (HUN),2024.2.18
9.05,0.0,-,95,Decker Szonja,2,Vasas,H2,Budapest (HUN),2024.1.28
9.05,0.0,-,95,Decker Szonja,2,Vasas,F1,Budapest (HUN),2024.2.03
9.11,0.0,-,97,Kiricsi Berill,97,Kőszegi Lóránt FC,H1,Budapest (HUN),2024.2.1
9.14,0.0,-,98,Kiricsi Berill,97,Kőszegi Lóránt FC,F1,Budapest (HUN),2024.1.28
9.15,0.0,-,99,Decker Szonja,2,Vasas,H2,Budapest (HUN),2024.2.03
9.16,0.0,-,100,Kiricsi Berill,97,Kőszegi Lóránt FC,H3,Budapest (HUN),2024.2.03
9.17,0.0,-,101,Kiricsi Berill,97,Kőszegi Lóránt FC,H1,Budapest (HUN),2024.1.28
9.22,0.0,-,102,Kiricsi Berill,97,Kőszegi Lóránt FC,F1,Budapest (HUN),2024.2.03
9.27,0.0,16,103,Ekler Luca,98,TFSE,F1,Budapest (HUN),2024.1.28
9.27,0.0,-,103,Decker Szonja,2,Vasas,F1,Budapest (HUN),2024.2.1
9.28,0.0,17,105,Brindza Blanka,6,Vasas,H1,Budapest (HUN),2024.2.1
9.29,0.0,-,106,Brindza Blanka,6,Vasas,F1,Nyíregyháza (HUN),2024.2.25
9.3,0.0,-,107,Decker Szonja,2,Vasas,F1,Budapest (HUN),2024.1.28
9.32,0.0,18,108,Mórocz Boglárka,0,Vasas,CE2,Budapest (HUN),2024.2.11
9.34,0.0,19,109,Barna Patrícia,3,KARC,CE2,Budapest (HUN),2024.2.11
9.35,0.0,-,110,Ekler Luca,98,TFSE,H2,Budapest (HUN),2024.1.28
9.35,0.0,20,110,Fekete Fédra,98,BHSE,H2,Budapest (HUN),2024.2.1
9.36,0.0,-,112,Barna Patrícia,3,KARC,H2,Budapest (HUN),2024.2.03
9.36,0.0,-,112,Brindza Blanka,6,Vasas,H3,Budapest (HUN),2024.2.03
9.36,0.0,21,112,Kirst Athina,6,Vasas,H2,Budapest (HUN),2024.2.1
9.37,0.0,-,115,Mórocz Boglárka,0,Vasas,F1,Budapest (HUN),2024.1.28
9.38,0.0,-,116,Barna Patrícia,3,KARC,H1,Budapest (HUN),2024.1.28
9.38,0.0,22,116,Hajagos Petra,6,Vasas,F1,Nyíregyháza (HUN),2024.2.25
9.41,0.0,-,118,Mórocz Boglárka,0,Vasas,H1,Budapest (HUN),2024.1.28
9.41,0.0,-,118,Mórocz Boglárka,0,Vasas,H3,Budapest (HUN),2024.2.03
9.43,0.0,23,120,Vancsik Petra,6,KARC,CE2,Budapest (HUN),2024.2.11
9.46,0.0,-,121,Barna Patrícia,3,KARC,F1,Budapest (HUN),2024.1.28
9.49,0.0,24,122,Tóth-Sztavridisz Szófia,6,MATE - GEAC,H2,Nyíregyháza (HUN),2024.2.18
9.52,0.0,-,123,Brindza Blanka,6,Vasas,H2,Nyíregyháza (HUN),2024.2.25
9.52,0.0,-,123,Hajagos Petra,6,Vasas,H2,Nyíregyháza (HUN),2024.2.25
9.55,0.0,25,125,Papp Zsófia,6,BHSE,H1,Budapest (HUN),2024.1.28
9.58,0.0,-,126,Brindza Blanka,6,Vasas,H1,Budapest (HUN),2024.1.28
9.58,0.0,26,126,Balogh Lilla,6,ARAK,F1,Nyíregyháza (HUN),2024.2.25
9.6,0.0,-,128,Hajagos Petra,6,Vasas,H2,Budapest (HUN),2024.2.03
9.6,0.0,-,128,Kirst Athina,6,Vasas,F1,Nyíregyháza (HUN),2024.2.25
9.62,0.0,27,130,Gulyás Zóra,5,Kőszegi Lóránt FC,F1,Nyíregyháza (HUN),2024.2.25
9.64,0.0,28,131,Hriczu Kinga,6,Csepel TC,CE1,Budapest (HUN),2024.2.11
9.66,0.0,-,132,Tóth-Sztavridisz Szófia,6,MATE - GEAC,H3,Budapest (HUN),2024.2.03
9.67,0.0,29,133,Nemes Kincső,3,KSI SE,CE1,Budapest (HUN),2024.2.11
9.67,0.0,-,133,Kirst Athina,6,Vasas,H1,Nyíregyháza (HUN),2024.2.25
9.69,0.0,-,135,Nemes Kincső,3,KSI SE,H3,Budapest (HUN),2024.2.03
9.72,0.0,-,136,Gulyás Zóra,5,Kőszegi Lóránt FC,H1,Nyíregyháza (HUN),2024.2.18
9.75,0.0,-,137,Hriczu Kinga,6,Csepel TC,H2,Budapest (HUN),2024.1.28
9.78,0.0,-,138,Hriczu Kinga,6,Csepel TC,H2,Budapest (HUN),2024.2.03
9.8,0.0,30,139,Erdős Viktória,5,DSC-SI,F1,Nyíregyháza (HUN),2024.1.27
