Eredmény,Szél,A.h.,Er.h.,Atléta,Szül,Klub,Típus,Helyszín,Dátum
20.6,1.7,1,1,Pásztor Gábor,82,FTC,F1,"Coral Gables, FL (USA)",2016.3.19
20.62,0.3,-,2,Pásztor Gábor,82,FTC,H1,"Daytona Beach, FL (USA)",2016.4.01
20.72,0.2,-,3,Pásztor Gábor,82,FTC,F2,Clermont (USA),2016.4.3
20.88,1.2,-,4,Pásztor Gábor,82,FTC,F1,"Coral Gables, FL (USA)",2016.4.09
20.99,2.0,-,5,Pásztor Gábor,82,FTC,F1,Miramar (USA),2016.5.02
21.02,0.0,-,6,Pásztor Gábor,82,FTC,F1,"Orlando, FL (USA)",2016.3.26
21.03,-0.6,-,7,Pásztor Gábor,82,FTC,F2,Gainesville (USA),2016.4.22
21.17,0.2,-,8,Pásztor Gábor,82,FTC,F1,Barcelona (ESP),2016.6.15
21.2,-0.3,-,9,Pásztor Gábor,82,FTC,F1,Bruxelles (BEL),2016.6.19
21.22,1.5,-,10,Pásztor Gábor,82,FTC,F1,Barcelona (ESP),2016.6.08
21.26,0.7,-,11,Pásztor Gábor,82,FTC,F1,Barcelona (ESP),2016.6.3
21.31,1.4,2,12,Szabó Dániel,97,ARAK,F,Szombathely (HUN),2016.6.26
21.41,1.9,-,13,Szabó Dániel,97,ARAK,F1,Budapest (HUN),2016.6.18
21.46,1.8,-,14,Szabó Dániel,97,ARAK,H3,Szombathely (HUN),2016.6.26
21.49,1.9,3,15,Bézsenyi Gergely,91,BHSE,F1,Budapest (HUN),2016.6.18
21.51,1.9,4,16,Kovács Miklós,93,Békéscsabai AC,F1,Budapest (HUN),2016.6.18
21.55,0.0,5,17,Dr. Baji Balázs,89,Békéscsabai AC,F1,Debrecen (HUN),2016.5.15
21.55,0.0,5,17,Ónodi Dávid,92,NYSC,F1,Debrecen (HUN),2016.5.15
21.6,1.4,7,19,Győri Árpád,97,DSC-SI,F,Szombathely (HUN),2016.6.26
21.61,0.8,-,20,Szabó Dániel,97,ARAK,F1,Zalaegerszeg (HUN),2016.6.11
21.65,0.0,8,21,Kovács Zoltán,90,MATE - GEAC,F1,Debrecen (HUN),2016.5.15
21.66,0.0,-,22,Kovács Miklós,93,Békéscsabai AC,F1,Debrecen (HUN),2016.5.15
21.69,0.6,-,23,Győri Árpád,97,DSC-SI,H2,Szombathely (HUN),2016.6.26
21.69,-0.2,9,23,Sipos János,91,Szolnoki MÁV-SE,F,Budapest (HUN),2016.9.04
21.72,-0.9,-,25,Kovács Miklós,93,Békéscsabai AC,F,Miskolc (HUN),2016.5.29
21.72,-0.3,-,25,Kovács Miklós,93,Békéscsabai AC,H1,Miskolc (HUN),2016.5.29
21.74,-4.6,-,27,Sipos János,91,Szolnoki MÁV-SE,F,Székesfehérvár (HUN),2016.7.31
21.75,-0.2,-,28,Kovács Miklós,93,Békéscsabai AC,F,Budapest (HUN),2016.9.04
21.76,1.5,10,29,Boda Boldizsár,98,Haladás VSE,F2,Székesfehérvár (HUN),2016.7.18
21.77,-0.7,-,30,Sipos János,91,Szolnoki MÁV-SE,F2,Székesfehérvár (HUN),2016.9.11
21.78,1.3,-,31,Szabó Dániel,97,ARAK,H5,Bydgoszcz (POL),2016.7.21
21.83,-0.7,-,32,Kovács Zoltán,90,MATE - GEAC,F1,Székesfehérvár (HUN),2016.9.11
21.84,-3.2,-,33,Bézsenyi Gergely,91,BHSE,F,Miskolc (HUN),2016.5.29
21.85,0.8,-,34,Bézsenyi Gergely,91,BHSE,F1,Zalaegerszeg (HUN),2016.6.11
21.86,1.4,-,35,Boda Boldizsár,98,Haladás VSE,F,Szombathely (HUN),2016.6.26
21.87,,-,36,Szabó Dániel,97,ARAK,F3,Székesfehérvár (HUN),2016.5.29
21.88,0.6,-,37,Boda Boldizsár,98,Haladás VSE,H2,Szombathely (HUN),2016.6.26
21.9,1.3,11,38,Pálmai Márk,98,MATE - GEAC,F2,Budapest (HUN),2016.6.18
21.9,0.9,11,38,Boros Bence,96,Szolnoki MÁV-SE,F,Szombathely (HUN),2016.6.26
21.9,1.5,11,38,Szabó László,91,FTC,F2,Székesfehérvár (HUN),2016.7.18
21.9,-4.6,-,38,Szabó Dániel,97,ARAK,F,Székesfehérvár (HUN),2016.7.31
21.91,1.3,14,42,Eszes Dániel,99,Dunakeszi VSE,F2,Budapest (HUN),2016.6.18
21.91,0.9,14,42,Balogh Péter,96,ZALASZÁM-ZAC,F,Szombathely (HUN),2016.6.26
21.91,-0.2,-,42,Pálmai Márk,98,MATE - GEAC,F,Budapest (HUN),2016.9.04
21.92,-0.2,-,45,Szabó Dániel,97,ARAK,F,Budapest (HUN),2016.9.04
21.94,-0.7,-,46,Bézsenyi Gergely,91,BHSE,F1,Székesfehérvár (HUN),2016.9.11
21.95,1.4,-,47,Pálmai Márk,98,MATE - GEAC,F,Szombathely (HUN),2016.6.26
21.97,0.0,16,48,Vigvári Szabolcs,96,MATE - GEAC,F1,Debrecen (HUN),2016.5.15
21.99,-4.6,-,49,Bézsenyi Gergely,91,BHSE,F,Székesfehérvár (HUN),2016.7.31
22.02,0.0,-,50,Sipos János,91,Szolnoki MÁV-SE,F3,Debrecen (HUN),2016.5.15
22.02,0.7,17,50,Kása Tibor,87,Haladás VSE,H2,Miskolc (HUN),2016.5.29
22.03,1.5,-,52,Boros Bence,96,Szolnoki MÁV-SE,F2,Székesfehérvár (HUN),2016.7.18
22.04,-4.6,-,53,Balogh Péter,96,ZALASZÁM-ZAC,F,Székesfehérvár (HUN),2016.7.31
22.04,-0.2,-,53,Szabó László,91,FTC,F,Budapest (HUN),2016.9.04
