Eredmény,Szél,A.h.,Er.h.,Atléta,Szül,Klub,Típus,Helyszín,Dátum
10.39,1.9,1,1,Sipos János,91,Szolnoki MÁV-SE,F,Székesfehérvár (HUN),2016.7.18
10.39,0.6,-,1,Sipos János,91,Szolnoki MÁV-SE,F,Székesfehérvár (HUN),2016.7.29
10.4,1.0,-,3,Sipos János,91,Szolnoki MÁV-SE,F1,Debrecen (HUN),2016.6.04
10.43,1.3,-,4,Sipos János,91,Szolnoki MÁV-SE,F1,Budapest (HUN),2016.6.18
10.43,1.7,-,4,Sipos János,91,Szolnoki MÁV-SE,F1,Budapest (HUN),2016.7.22
10.45,0.6,-,6,Sipos János,91,Szolnoki MÁV-SE,H4,Amsterdam (NED),2016.7.06
10.47,-0.4,-,7,Sipos János,91,Szolnoki MÁV-SE,SF3,Amsterdam (NED),2016.7.07
10.49,0.3,-,8,Sipos János,91,Szolnoki MÁV-SE,F1,Veszprém (HUN),2016.6.12
10.54,1.4,-,9,Sipos János,91,Szolnoki MÁV-SE,F,Székesfehérvár (HUN),2016.7.18
10.56,1.3,2,10,Szabó Dániel,97,ARAK,F1,Budapest (HUN),2016.6.18
10.57,-2.1,-,11,Sipos János,91,Szolnoki MÁV-SE,H,Szombathely (HUN),2016.6.25
10.58,-1.5,3,12,Kádasi Zalán,94,Egri Sportiskola SE,F,Miskolc (HUN),2016.5.28
10.59,0.6,4,13,Illovszky Dominik,2,BHSE,F,Székesfehérvár (HUN),2016.7.29
10.6,1.7,-,14,Szabó Dániel,97,ARAK,H5,Budapest (HUN),2016.6.18
10.61,-1.0,-,15,Sipos János,91,Szolnoki MÁV-SE,F,Miskolc (HUN),2016.5.28
10.61,-1.0,-,15,Sipos János,91,Szolnoki MÁV-SE,F,Szombathely (HUN),2016.6.25
10.61,0.4,-,15,Sipos János,91,Szolnoki MÁV-SE,F,Budapest (HUN),2016.9.03
10.62,0.6,-,18,Szabó Dániel,97,ARAK,F,Székesfehérvár (HUN),2016.7.29
10.64,0.4,-,19,Sipos János,91,Szolnoki MÁV-SE,H1,Debrecen (HUN),2016.6.04
10.64,0.6,-,19,Szabó Dániel,97,ARAK,H2,Székesfehérvár (HUN),2016.7.29
