Eredmény,Szél,A.h.,Er.h.,Atléta,Szül,Klub,Típus,Helyszín,Dátum
25.42,0.0,28,121,Huszka Blanka,4,KARC,F1,Budapest (HUN),2021.9.26
25.44,+1.8,29,123,Széll Gyöngyi,91,BEAC,F1,Győr (HUN),2021.5.16
25.44,+1.3,-,123,Mészáros Luca,5,ARAK,F1,Veszprém (HUN),2021.6.09
25.45,+0.3,-,125,Széll Gyöngyi,91,BEAC,F2,Veszprém (HUN),2021.6.06
25.48,0.0,-,126,Hajdú Lotti,98,Szolnoki MÁV-SE,H3,Debrecen (HUN),2021.6.27
25.48,+0.3,-,126,Simon Virág,2,MATE - GEAC,F1,Győr (HUN),2021.7.04
25.49,+0.5,-,128,Bottlik Judit,98,BHSE,F5,Budapest (HUN),2021.5.22
25.49,0.0,-,128,Sulyán Alexa,5,MATE - GEAC,F1,Veszprém (HUN),2021.7.28
25.5,+0.1,-,130,Nagy Pálma,1,ZALASZÁM-ZAC,F1,Miskolc (HUN),2021.6.13
25.51,+1.1,30,131,Mandeville Dominika,0,Vasas,H3,Miskolc (HUN),2021.6.13
25.51,-0.5,-,131,Szűcs Szabina,2,KARC,CE1,Székesfehérvár (HUN),2021.6.19
25.52,+2.0,31,133,Körtvélyi Eszter,2,UTE,H1,Miskolc (HUN),2021.6.13
25.52,+0.7,31,133,Dávid Anna,2,DSC-SI,F1,Miskolc (HUN),2021.6.13
25.54,+1.0,33,135,Skriván Bíbor,3,BHSE,H2,Miskolc (HUN),2021.6.13
25.55,+1.0,-,136,Huszka Blanka,4,KARC,F,Brno (CZE),2021.8.14
25.57,+0.7,34,137,Szikossy Szilvia,3,FTC,F2,Győr (HUN),2021.5.16
25.57,+0.1,-,137,Mandeville Dominika,0,Vasas,F1,Miskolc (HUN),2021.6.13
25.58,+1.6,-,139,Bottlik Judit,98,BHSE,H2,Győr (HUN),2021.5.29
25.58,+0.1,35,139,Répási Petra,96,FTC,F1,Zalaegerszeg (HUN),2021.6.15
25.59,+0.5,-,141,Körtvélyi Eszter,2,UTE,F3,Veszprém (HUN),2021.6.06
25.59,+0.7,-,141,Körtvélyi Eszter,2,UTE,F1,Miskolc (HUN),2021.6.13
25.63,+1.1,36,143,Mundruczó Nóra,1,Békéscsabai AC,H3,Miskolc (HUN),2021.6.13
25.64,+1.5,-,144,Dávid Anna,2,DSC-SI,H4,Miskolc (HUN),2021.6.13
25.66,+0.6,37,145,Diószegi Kata,0,MTK Budapest,H1,Miskolc (HUN),2021.6.13
25.67,-1.4,-,146,Simon Virág,2,MATE - GEAC,F1,Székesfehérvár (HUN),2021.7.06
25.68,+0.7,-,147,Mandeville Dominika,0,Vasas,F2,Győr (HUN),2021.5.16
25.68,+0.7,-,147,Szikossy Szilvia,3,FTC,F3,Budapest (HUN),2021.5.22
25.7,+0.1,-,149,Mundruczó Nóra,1,Békéscsabai AC,F1,Miskolc (HUN),2021.6.13
25.72,+1.3,38,150,Kovács Léna,4,UTE,F1,Veszprém (HUN),2021.6.09
25.73,+0.8,-,151,Dobránszky Laura,2,MATE - GEAC,F1,Szolnok (HUN),2021.8.29
25.73,0.0,-,151,Fekete Júlia,5,VEDAC,F1,Budapest (HUN),2021.9.26
25.75,+0.7,39,153,Erdei Tamara,99,MTK Budapest,F3,Budapest (HUN),2021.5.22
25.76,0.0,-,154,Huszka Blanka,4,KARC,F1,Szekszárd (HUN),2021.8.08
