Eredmény,Szél,A.h.,Er.h.,Atléta,Szül,Klub,Típus,Helyszín,Dátum
3.36,+0.7,355,825,Váncsa Róbert,9,AC Bonyhád,F1,Pécs (HUN),2021.6.17
3.32,NWI,-,827,Kiss Bendegúz,9,Szekszárdi Sportközpont,F1,Székesfehérvár (HUN),2021.5.01
3.31,NWI,357,828,Kocsis Péter,10,POSTÁS SE,F1,Veszprém (HUN),2021.6.05
3.26,+0.9,-,829,Daradics Balázs,9,AC Bonyhád,F1,Pécs (HUN),2021.6.17
3.21,0.0,358,830,Németh Patrik,9,Albertirsai SE,CE1,Albertirsa (HUN),2021.6.11
3.1,NWI,359,831,Biró Bálint,11,UTE,F1,Veszprém (HUN),2021.6.05
3.1,+0.7,359,831,Béres Nándor,9,A-Plast Ikarus BSE,F1,Gödöllő (HUN),2021.6.17
3.09,0.0,361,833,Török Henrik,9,TSC-Geotech,F1,Tatabánya (HUN),2021.8.28
3.07,NWI,362,834,Jagodics Dénes,10,Kőszegi Lóránt FC,F1,Veszprém (HUN),2021.6.05
3.0,-0.8,363,835,Molnár Balázs,9,A-Plast Ikarus BSE,F1,Gödöllő (HUN),2021.6.17
2.99,NWI,364,836,Horváth Krisztián,10,Kőszegi Lóránt FC,F1,Veszprém (HUN),2021.6.05
2.68,NWI,-,837,Fricz Sándor,8,Egri Sportiskola SE,CE1,Győr (HUN),2021.7.03
7.76,+1.9,1,1,Pap Kristóf,98,FTC,CE1,Pápa (HUN),2022.7.02
7.69,+0.5,-,2,Pap Kristóf,98,FTC,F1,Pápa (HUN),2022.7.13
7.66,+0.8,2,3,Pázmándi Dominik,0,Szolnoki MÁV-SE,F1,Tatabánya (HUN),2022.7.24
7.66,+1.3,2,3,Galambos Tibor,91,FTC,F1,Tatabánya (HUN),2022.7.24
7.63,+1.6,-,5,Galambos Tibor,91,FTC,F1,Székesfehérvár (HUN),2022.6.1
7.61,+0.5,-,6,Pap Kristóf,98,FTC,F1,Budapest (HUN),2022.6.04
7.61,+1.6,4,6,Salamon András,0,TSC-Geotech,F1,Tatabánya (HUN),2022.7.24
7.6,+1.1,-,8,Galambos Tibor,91,FTC,F1,Budapest (HUN),2022.6.04
7.59,+1.0,-,9,Pázmándi Dominik,0,Szolnoki MÁV-SE,F1,Miskolc (HUN),2022.7.1
7.58,+0.1,-,10,Pap Kristóf,98,FTC,F1,Budapest (HUN),2022.6.25
7.53,-0.5,-,11,Galambos Tibor,91,FTC,F1,Budapest (HUN),2022.6.25
7.49,+0.5,-,12,Galambos Tibor,91,FTC,F1,Debrecen (HUN),2022.9.17
7.48,+1.4,-,13,Pap Kristóf,98,FTC,F1,Győr (HUN),2022.5.14
7.48,+0.9,-,13,Pázmándi Dominik,0,Szolnoki MÁV-SE,F1,Budapest (HUN),2022.6.04
7.47,+0.2,5,15,Gerics Roland,1,TSC-Geotech,F1,Debrecen (HUN),2022.9.17
7.46,-0.1,-,16,Pap Kristóf,98,FTC,F1,Gödöllő (HUN),2022.6.16
7.43,+0.2,-,17,Pázmándi Dominik,0,Szolnoki MÁV-SE,F1,Miskolc (HUN),2022.5.14
7.43,+0.2,-,17,Pap Kristóf,98,FTC,Q1,Budapest (HUN),2022.6.24
7.42,+1.0,-,19,Pázmándi Dominik,0,Szolnoki MÁV-SE,F1,Székesfehérvár (HUN),2022.6.1
7.41,-1.7,-,20,Galambos Tibor,91,FTC,F1,Pápa (HUN),2022.7.13
7.4,+1.8,6,21,Bánóczi Kristóf,4,FTC,F,Győr (HUN),2022.5.25
7.38,+0.5,-,22,Salamon András,0,TSC-Geotech,F1,Győr (HUN),2022.8.05
7.35,+0.6,-,23,Gerics Roland,1,TSC-Geotech,F1,Budapest (HUN),2022.6.04
7.29,+0.1,-,24,Gerics Roland,1,TSC-Geotech,F1,Miskolc (HUN),2022.4.3
7.28,+0.9,-,25,Gerics Roland,1,TSC-Geotech,F1,Miskolc (HUN),2022.7.1
