Eredmény,Szél,A.h.,Er.h.,Atléta,Szül,Klub,Típus,Helyszín,Dátum
30.73,0.0,189,302,Badics-Páskai Nóra,11,MATE - GEAC,CE9,Budapest (HUN),2024.3.1
30.74,0.0,190,303,Moravszki Berta,10,NYSC,F7,Nyíregyháza (HUN),2024.1.27
30.74,0.0,190,303,Hammer Natasa,8,VSD,F10,Budapest (HUN),2024.2.1
30.82,0.0,192,305,Borbély-Jakab Panka,11,KARC,CE11,Budapest (HUN),2024.3.1
30.83,0.0,193,306,Képli Zsanett,11,ARAK,CE12,Budapest (HUN),2024.3.1
30.87,0.0,194,307,Szemán Dorka,12,VEDAC,CE6,Budapest (HUN),2024.3.1
30.88,0.0,195,308,Szűcs Réka,12,PVSK,CE1,Budapest (HUN),2024.3.1
30.94,0.0,196,309,Illyés Lídia,11,Szekszárdi Sportközpont,CE6,Budapest (HUN),2024.3.09
31.01,0.0,197,310,Rizmayer Kinga,6,FTC,F12,Budapest (HUN),2024.2.1
31.04,0.0,198,311,Nemes Réka,9,FTC,F18,Budapest (HUN),2024.1.28
31.12,0.0,199,312,Miklós Luca,11,SVSE,CE7,Budapest (HUN),2024.3.1
31.14,0.0,200,313,Molnár Júlia,12,MTK Budapest,CE5,Budapest (HUN),2024.3.1
31.16,0.0,201,314,Zsoldos Lotti,11,KARC,CE9,Budapest (HUN),2024.3.1
31.18,0.0,202,315,Vrazsgyák Natália,12,UTE,CE8,Budapest (HUN),2024.3.1
31.28,0.0,203,316,Kolman Klaudia,6,Dobó SE,F5,Nyíregyháza (HUN),2024.2.25
31.31,0.0,204,317,Lócsi Dóra,86,Gyerefutni Sportegyesület,F1,Budapest (HUN),2024.3.02
31.34,0.0,205,318,Trázsi Mia,11,KARC,CE9,Budapest (HUN),2024.3.1
31.47,0.0,206,319,Bátori Noémi,70,FTC,F1,Budapest (HUN),2024.3.02
31.67,0.0,207,320,Százi-Bagi Zora,8,VSD,F7,Nyíregyháza (HUN),2024.2.25
31.7,0.0,208,321,Erényi Emma,5,BHSE,F8,Budapest (HUN),2024.2.1
31.72,0.0,209,322,Kucsera Flóra,11,AC Bonyhád,CE6,Budapest (HUN),2024.3.1
31.74,0.0,210,323,Danyi Zsófia,11,A-Plast Ikarus BSE,CE5,Budapest (HUN),2024.3.1
31.75,0.0,211,324,Boncsarovszky Lilla,10,FTC,F12,Budapest (HUN),2024.1.28
31.75,0.0,211,324,Fekete Mia,12,MTK Budapest,CE7,Budapest (HUN),2024.3.1
31.76,0.0,-,326,Rizmayer Kinga,6,FTC,F17,Budapest (HUN),2024.1.28
31.84,0.0,213,327,Hrebenku Dorka,12,Viadukt SE,CE5,Budapest (HUN),2024.3.1
31.84,0.0,213,327,Orosz Nóra,12,MATE - GEAC,CE8,Budapest (HUN),2024.3.1
31.9,0.0,215,329,Borbás Lilla,12,Csepel TC,CE3,Budapest (HUN),2024.3.1
31.92,0.0,216,330,Asiama Evelyn,89,MATE - GEAC,F1,Budapest (HUN),2024.3.02
32.0,0.0,217,331,Nemoda Janka,12,A-Plast Ikarus BSE,CE12,Budapest (HUN),2024.3.1
32.06,0.0,218,332,Köpe Janka,11,VSD,CE9,Budapest (HUN),2024.3.1
32.14,0.0,-,333,Erényi Emma,5,BHSE,F15,Budapest (HUN),2024.1.28
32.14,0.0,219,333,Tatai Zille,12,Albertirsai SE,CE8,Budapest (HUN),2024.3.1
32.18,0.0,220,335,Klose Emma,11,Győri Atlétikai Club,CE8,Budapest (HUN),2024.3.1
32.19,0.0,221,336,Nagy Gabriella,12,A-Plast Ikarus BSE,CE9,Budapest (HUN),2024.3.1
32.29,0.0,222,337,Stavarsz Barbara,11,TSC-Geotech,CE4,Budapest (HUN),2024.3.1
32.31,0.0,223,338,Papp Emese,12,Viadukt SE,CE2,Budapest (HUN),2024.3.1
32.31,0.0,223,338,Bükkösi Luca,12,SVSE,CE2,Budapest (HUN),2024.3.1
32.33,0.0,225,340,Ratkai Lili,12,Szolnoki SC-SI,CE3,Budapest (HUN),2024.3.1
32.42,0.0,226,341,Ballagi Bori,11,Győri Atlétikai Club,CE7,Budapest (HUN),2024.3.1
32.49,0.0,227,342,Csatai Flóra,12,KARC,CE11,Budapest (HUN),2024.3.1
32.5,0.0,228,343,Daru Lina,11,VSD,CE4,Budapest (HUN),2024.3.1
32.51,0.0,229,344,Fogel Leona,12,A-Plast Ikarus BSE,CE1,Budapest (HUN),2024.3.1
32.58,0.0,230,345,Miklósa Emma,11,VSD,CE5,Budapest (HUN),2024.3.1
32.63,0.0,231,346,Barabás Csenge,11,FTC,CE10,Budapest (HUN),2024.3.1
32.7,0.0,-,347,Erényi Emma,5,BHSE,F4,Nyíregyháza (HUN),2024.1.2
32.76,0.0,232,348,Horváth Blanka,12,MMAC,CE8,Budapest (HUN),2024.3.1
32.78,0.0,233,349,Juhász Dorottya,12,Csepel TC,CE3,Budapest (HUN),2024.3.1
32.86,0.0,234,350,Csötönyi Tünde,11,Szekszárdi Sportközpont,CE9,Budapest (HUN),2024.3.1
32.86,0.0,234,350,Méreg Virág,12,Reménység Vác,CE11,Budapest (HUN),2024.3.1
33.03,0.0,236,352,Mischl Réka,11,AC Bonyhád,CE6,Budapest (HUN),2024.3.09
33.22,0.0,237,353,Pásztor Dorina,11,UTE,CE12,Budapest (HUN),2024.3.1
33.24,0.0,238,354,Tipold Viktória,11,Törökszentmiklósi DAK,CE7,Budapest (HUN),2024.3.1
33.35,0.0,239,355,Mick-Szabó Leila,11,Szekszárdi Sportközpont,CE7,Budapest (HUN),2024.3.1
33.41,0.0,240,356,Baji Zsófia,12,UTE,CE8,Budapest (HUN),2024.3.1
33.72,0.0,241,357,Sülyi Réka,11,Szekszárdi Sportközpont,CE5,Budapest (HUN),2024.3.1
34.04,0.0,242,358,Urbán Ildikó,79,MMAC,F1,Budapest (HUN),2024.3.02
34.19,0.0,243,359,Pálfiné Gulyás Vera,86,DSC-SI,F2,Budapest (HUN),2024.3.02
34.24,0.0,244,360,Császár Regina,12,MTK Budapest,CE10,Budapest (HUN),2024.3.1
34.25,0.0,245,361,Iván-Zsolnai Zsanett,79,UTE,F1,Budapest (HUN),2024.3.02
34.46,0.0,246,362,Szabó Alexandra,12,Szolnoki SC-SI,CE2,Budapest (HUN),2024.3.1
34.47,0.0,247,363,Ullrich Kitti,12,Viadukt SE,CE10,Budapest (HUN),2024.3.1
34.56,0.0,248,364,Bahor Gerda,12,Reménység Vác,CE3,Budapest (HUN),2024.3.1
35.71,0.0,249,365,Cseh Angéla,62,Reménység Vác,F1,Budapest (HUN),2024.3.02
35.78,0.0,250,366,Karancsi Viktória,12,Szolnoki SC-SI,CE4,Budapest (HUN),2024.3.1
35.9,0.0,251,367,Vincze Veronika,70,Futóbarátok,F1,Budapest (HUN),2024.3.02
37.03,0.0,252,368,Szmuda Kinga,11,Viadukt SE,CE12,Budapest (HUN),2024.3.1
38.62,0.0,253,369,Bedő Zsuzsanna,71,MMAC,F1,Budapest (HUN),2024.3.02
42.64,0.0,254,370,Szekeresné Wieland,52,EFM,F1,Budapest (HUN),2024.3.02
43.01,0.0,255,371,Szilágyi Attiláné,65,Csömöri Sport Kft.,F1,Budapest (HUN),2024.3.02
44.48,0.0,256,372,Szurok Etelka,46,H. Szondi SE,F1,Budapest (HUN),2024.3.02
46.69,0.0,-,373,Százi-Bagi Zora,8,VSD,F13,Budapest (HUN),2024.2.1
56.56,0.0,-,374,Habán Hanga,7,BHSE,F18,Budapest (HUN),2024.1.28
57.53,0.0,257,375,Szalay Éva,70,MMAC,F1,Budapest (HUN),2024.3.02
