Eredmény,Szél,A.h.,Er.h.,Atléta,Szül,Klub,Típus,Helyszín,Dátum
13.15,1.2,1,1,Kerekes Gréta,92,DSC-SI,F,Budapest (HUN),2016.6.18
13.2,1.2,2,2,Kozák Luca,96,DSC-SI,F,Budapest (HUN),2016.6.18
13.28,0.4,-,3,Kerekes Gréta,92,DSC-SI,F,Székesfehérvár (HUN),2016.7.3
13.3,1.5,-,4,Kozák Luca,96,DSC-SI,H,Szombathely (HUN),2016.6.26
13.3,1.8,-,4,Kozák Luca,96,DSC-SI,H2,Amsterdam (NED),2016.7.06
13.31,0.8,-,6,Kozák Luca,96,DSC-SI,H2,Budapest (HUN),2016.6.18
13.33,0.4,-,7,Kozák Luca,96,DSC-SI,F,Székesfehérvár (HUN),2016.7.3
13.36,1.5,-,8,Kerekes Gréta,92,DSC-SI,H1,Turku (FIN),2016.6.29
13.41,0.2,-,9,Kerekes Gréta,92,DSC-SI,F,Turku (FIN),2016.6.29
13.41,1.8,-,9,Kerekes Gréta,92,DSC-SI,F1,Székesfehérvár (HUN),2016.7.18
13.42,0.2,-,11,Kerekes Gréta,92,DSC-SI,F,Aarhus (DEN),2016.6.25
13.42,1.8,-,11,Kozák Luca,96,DSC-SI,F1,Székesfehérvár (HUN),2016.7.18
13.46,0.8,3,13,Juhász Lilla,93,Haladás VSE,F,"Lynchburg, VA (USA)",2016.5.12
13.46,0.8,-,13,Kozák Luca,96,DSC-SI,F1,Debrecen (HUN),2016.6.04
13.47,2.0,-,15,Juhász Lilla,93,Haladás VSE,F1,"Buies Creek, NC (USA)",2016.4.16
13.48,1.4,-,16,Kerekes Gréta,92,DSC-SI,H1,Budapest (HUN),2016.6.18
13.48,1.9,-,16,Kerekes Gréta,92,DSC-SI,H,Budapest (HUN),2016.7.22
13.51,1.0,4,18,Krizsán Xénia,93,MTK Budapest,CE,Budapest (HUN),2016.6.19
13.51,0.1,-,18,Juhász Lilla,93,Haladás VSE,H3,Amsterdam (NED),2016.7.06
13.53,1.2,-,20,Krizsán Xénia,93,MTK Budapest,CE2,Amsterdam (NED),2016.7.08
13.54,-0.4,-,21,Kozák Luca,96,DSC-SI,F2,Genève (SUI),2016.6.11
13.54,0.6,-,21,Kerekes Gréta,92,DSC-SI,H4,Amsterdam (NED),2016.7.06
13.57,0.7,-,23,Juhász Lilla,93,Haladás VSE,F2,Székesfehérvár (HUN),2016.7.18
13.58,-1.6,-,24,Kozák Luca,96,DSC-SI,H3,Genève (SUI),2016.6.11
