Eredmény,A.h.,Er.h.,Csapat,Típus,Helyszín,Dátum
1:26.37,1,1,Gödöllői EAC,F1,Budapest (HUN),2016.5.21
1:28.31,2,2,Haladás VSE,F1,Budapest (HUN),2016.5.21
1:29.68,3,3,Szolnoki MÁV SE,F1,Budapest (HUN),2016.5.21
1:30.89,4,4,Dunakeszi VSE,F2,Budapest (HUN),2016.5.21
1:31.08,5,5,Budaörsi SC,F1,Budapest (HUN),2016.5.21
1:31.65,6,6,Szekszárdi SK Nkft.,F2,Budapest (HUN),2016.5.21
1:31.77,7,7,FTC,F1,Budapest (HUN),2016.5.21
1:32.02,8,8,UTE,F2,Budapest (HUN),2016.5.21
1:32.30,9,9,KSI SE,F2,Budapest (HUN),2016.5.21
1:28.09,1,1,Dunakeszi VSE,F,Budapest (HUN),2017.9.16
1:28.49,2,2,Zalaszám-ZAC,F,Budapest (HUN),2017.9.16
1:28.98,3,3,Szolnoki MÁV SE,F,Budapest (HUN),2017.9.16
1:28.65,1,1,BHSE,F1,Szekszárd (HUN),2018.9.15
1:29.53,2,2,ZALASZÁM-ZAC,F1,Szekszárd (HUN),2018.9.15
1:31.80,3,3,Vasas,F1,Szekszárd (HUN),2018.9.15
1:25.56,1,1,Szolnoki MÁV-SE,F1,Zalaegerszeg (HUN),2019.6.02
1:25.58,2,2,BHSE,F1,Zalaegerszeg (HUN),2019.6.02
1:29.36,3,3,Haladás VSE,F1,Zalaegerszeg (HUN),2019.6.02
1:31.36,4,4,ZALASZÁM-ZAC,F1,Zalaegerszeg (HUN),2019.6.02
1:32.86,5,5,VEDAC,F1,Zalaegerszeg (HUN),2019.6.02
1:46.95,6,6,GEAC,F1,Zalaegerszeg (HUN),2019.6.02
1:26.15,1,1,BHSE,F1,Kecskemét (HUN),2021.5.08
1:31.43,2,2,GEAC,F1,Kecskemét (HUN),2021.5.08
1:32.51,3,3,KSI SE,F1,Kecskemét (HUN),2021.5.08
1:28.02,1,1,BHSE,F1,Kecskemét (HUN),2022.5.07
1:30.35,2,2,UTE,F1,Kecskemét (HUN),2022.5.07
1:34.34,3,3,KSI SE,F1,Kecskemét (HUN),2022.5.07
1:27.00,1,1,Győri Atlétikai Club,F1,Budapest (HUN),2023.5.07
1:27.79,2,2,BHSE,F1,Budapest (HUN),2023.5.07
1:29.37,3,3,UTE,F1,Budapest (HUN),2023.5.07
1:30.14,4,4,FTC,F1,Budapest (HUN),2023.5.07
1:30.45,5,5,Vasas,F1,Budapest (HUN),2023.5.07
1:34.68,6,6,Keszthely VDSE,F1,Budapest (HUN),2023.5.07
1:26.90,1,1,ARAK,F1,Kaposvár (HUN),2024.5.18
1:27.56,2,2,FTC,F1,Kaposvár (HUN),2024.5.18
1:32.35,3,3,Csepel TC,F1,Kaposvár (HUN),2024.5.18
1:32.51,4,4,Haladás VSE,F1,Kaposvár (HUN),2024.5.18
