Eredmény,A.h.,Er.h.,Csapat,Típus,Helyszín,Dátum
9:17.72,1,1,ARAK UP Akadémia U18,F,Budapest (HUN),2016.5.21
9:27.56,2,2,UTE U18,F,Budapest (HUN),2016.5.21
9:35.80,3,3,DOVASE,F,Budapest (HUN),2016.5.21
9:48.36,4,4,KSI SE,F,Budapest (HUN),2016.5.21
9:51.00,5,5,ARAK UP Akadémia U20,F,Budapest (HUN),2016.5.21
9:52.71,6,6,VEDAC U16,F,Budapest (HUN),2016.5.21
9:58.27,7,7,Ikarus BSE U20,F,Budapest (HUN),2016.5.21
9:59.70,8,8,Titán TC U16,F,Budapest (HUN),2016.5.21
10:06.38,9,9,TSC-Geotech U16,F,Budapest (HUN),2016.5.21
10:07.02,10,10,Ikarus BSE U16,F,Budapest (HUN),2016.5.21
10:10.40,11,11,Gödöllői EAC U16,F,Budapest (HUN),2016.5.21
10:14.12,12,12,BEAC U20,F,Budapest (HUN),2016.5.21
10:25.89,13,13,Gödöllöi EAC U18,F,Budapest (HUN),2016.5.21
10:27.22,14,14,Vasas U18,F,Budapest (HUN),2016.5.21
9:09.75,1,1,Győri AC,F,Budapest (HUN),2017.9.16
9:11.90,2,2,DOVASE,F,Budapest (HUN),2017.9.16
9:19.9h,3,3,ARAK UP Akadémia U20,F,Budapest (HUN),2017.9.16
9:20.59,4,4,BEAC,F,Budapest (HUN),2017.9.16
9:39.4h,5,5,Ikarus BSE U20,F,Budapest (HUN),2017.9.16
9:41.51,6,6,Bp. Honvéd SE U18,F,Budapest (HUN),2017.9.16
9:53.7h,7,7,VEDAC U20,F,Budapest (HUN),2017.9.16
9:57.80,8,8,VEDAC U16,F,Budapest (HUN),2017.9.16
10:04.8h,9,9,Soproni AC U20,F,Budapest (HUN),2017.9.16
10:06.95,10,10,KARC U18,F,Budapest (HUN),2017.9.16
10:12.42,11,11,Gödöllöi EAC U18,F,Budapest (HUN),2017.9.16
10:18.39,12,12,Vasas U18,F,Budapest (HUN),2017.9.16
10:29.86,13,13,TSC-Geotech U18,F,Budapest (HUN),2017.9.16
10:37.44,14,14,KSI SE,F,Budapest (HUN),2017.9.16
10:41.31,15,15,Ikarus BSE U16,F,Budapest (HUN),2017.9.16
10:51.96,16,16,AC Bonyhád U18,F,Budapest (HUN),2017.9.16
10:56.23,17,17,Zalaszám-ZAC U16,F,Budapest (HUN),2017.9.16
11:00.12,18,18,Csömöri Sport Kft. U16,F,Budapest (HUN),2017.9.16
9:19.25,1,1,BEAC,F1,Szekszárd (HUN),2018.9.15
9:29.46,2,2,BHSE,F1,Szekszárd (HUN),2018.9.15
9:45.38,3,3,SVSE,F1,Szekszárd (HUN),2018.9.15
9:56.41,4,4,ARAK UP Akadémia,F1,Szekszárd (HUN),2018.9.15
10:21.50,5,5,VEDAC,F1,Szekszárd (HUN),2018.9.15
10:45.63,6,6,GEAC,F1,Szekszárd (HUN),2018.9.15
10:45.93,7,7,MVSI,F1,Szekszárd (HUN),2018.9.15
10:47.12,8,8,ZALASZÁM-ZAC,F1,Szekszárd (HUN),2018.9.15
11:04.80,9,9,Albertirsai SE,F1,Szekszárd (HUN),2018.9.15
