Eredmény,Szél,A.h.,Er.h.,Atléta,Szül,Klub,Típus,Helyszín,Dátum
15.07,+0.4,4,10,Iván Zsombor,1,DSC-SI,F,Veszprém (HUN),2024.5.12
15.06,0.0,-,11,Rivasz Martin,2,FTC,F1,Nyíregyháza (HUN),2024.1.2
15.05,+0.3,-,12,Iván Zsombor,1,DSC-SI,F1,Budapest (HUN),2024.6.02
14.99,0.0,-,13,Rivasz Martin,2,FTC,F1,Budapest (HUN),2024.2.04
14.96,0.0,-,14,Iván Zsombor,1,DSC-SI,F1,Nyíregyháza (HUN),2024.2.17
14.94,-0.1,-,15,Iván Zsombor,1,DSC-SI,F1,Budapest (HUN),2024.6.29
14.94,+0.9,-,15,Rivasz Martin,2,FTC,F1,Szolnok (HUN),2024.7.27
14.88,0.0,-,17,Iván Zsombor,1,DSC-SI,F1,Nyíregyháza (HUN),2024.1.2
14.83,0.0,-,18,Rivasz Martin,2,FTC,F1,Nyíregyháza (HUN),2024.2.17
14.82,0.0,-,19,Galambos Tibor,91,FTC,F1,Budapest (HUN),2024.2.04
14.82,+0.2,-,19,Rivasz Martin,2,FTC,F,Kraków (POL),2024.7.2
14.69,0.0,-,21,Iván Zsombor,1,DSC-SI,F1,Nyíregyháza (HUN),2024.1.27
14.63,-0.2,5,22,Kiss Mátyás,6,FTC,F1,Budapest (HUN),2024.6.29
14.46,+1.4,6,23,Bánhidi Bence,89,BHSE,F1,Budapest (HUN),2024.5.12
14.33,0.0,7,24,Kerék Patrik,6,ARAK,F1,Nyíregyháza (HUN),2024.2.25
14.26,0.0,-,25,Rivasz Martin,2,FTC,F,Veszprém (HUN),2024.5.12
14.25,-0.3,8,26,Monoki Benjámin,3,DVTK,F1,Budapest (HUN),2024.6.29
14.1,+0.9,9,27,Nagy Alex,4,FTC,F1,Szolnok (HUN),2024.7.27
14.08,0.0,-,28,Nagy Alex,4,FTC,F1,Budapest (HUN),2024.1.28
14.07,+1.0,-,29,Kiss Mátyás,6,FTC,F1,Székesfehérvár (HUN),2024.6.14
14.06,+0.3,-,30,Monoki Benjámin,3,DVTK,F1,Szolnok (HUN),2024.7.27
14.03,+1.6,-,31,Kerék Patrik,6,ARAK,F,Brno (CZE),2024.6.22
14.01,+0.4,-,32,Bánhidi Bence,89,BHSE,F1,Budapest (HUN),2024.6.02
14.01,+0.1,10,32,Prekli Zoltán,91,FTC,F1,Budapest (HUN),2024.6.29
14.0,-0.3,-,34,Bánhidi Bence,89,BHSE,F1,Budapest (HUN),2024.6.29
13.99,+1.2,11,35,Vági Dániel,6,Salgótarjáni AC,F1,Szolnok (HUN),2024.7.27
13.98,+0.2,12,36,Kiss Noel,8,UTE,F,Pöstyén (SVK),2024.7.05
