Eredmény,Szél,A.h.,Er.h.,Atléta,Szül,Klub,Típus,Helyszín,Dátum
9.52,-0.5,-,142,Virágh Tamara,5,Albertirsai SE,F1,Albertirsa (HUN),2023.5.01
9.31,-0.1,-,143,Dóczi Csenge,4,KSI SE,F1,Budapest (HUN),2023.9.09
9.26,+1.3,-,144,Dóczi Csenge,4,KSI SE,F1,Szolnok (HUN),2023.7.15
8.4,NWI,52,145,Volosinovszki Zoltánné,62,Gyulasport Nonprofit Kft.,F1,Budapest (HUN),2023.9.17
8.04,NWI,53,146,Rákosy Mónika,75,POSTÁS SE,F1,Budapest (HUN),2023.9.17
6.5,NWI,54,147,Rácz Katalin,75,H. Szondi SE,F1,Budapest (HUN),2023.9.17
13.1,-0.3,1,1,Virók Erna,0,FTC,F1,Budapest (HUN),2024.6.29
13.0,0.0,2,2,Szabó Beatrix,95,MTK Budapest,F1,Nyíregyháza (HUN),2024.2.18
12.95,0.0,3,3,Nyisztor Petra,96,NYSC,F1,Nyíregyháza (HUN),2024.1.27
12.87,+0.8,-,4,Virók Erna,0,FTC,F1,Tatabánya (HUN),2024.8.23
12.84,+0.1,-,5,Nyisztor Petra,96,NYSC,F1,Budapest (HUN),2024.6.29
12.83,+1.2,-,6,Nyisztor Petra,96,NYSC,F1,Budapest (HUN),2024.6.02
12.79,+1.6,-,7,Szabó Beatrix,95,MTK Budapest,F1,Budapest (HUN),2024.5.26
12.78,0.0,-,8,Szabó Beatrix,95,MTK Budapest,F1,Budapest (HUN),2024.1.28
12.78,-0.2,-,8,Szabó Beatrix,95,MTK Budapest,F1,Budapest (HUN),2024.6.29
12.71,0.0,-,10,Szabó Beatrix,95,MTK Budapest,F1,Budapest (HUN),2024.2.11
12.7,+0.9,4,11,Marosi Viktória,1,FTC,F1,Budapest (HUN),2024.5.26
12.69,-0.1,-,12,Virók Erna,0,FTC,F1,Budapest (HUN),2024.5.26
12.62,+1.5,-,13,Nyisztor Petra,96,NYSC,F1,Budapest (HUN),2024.5.26
12.62,+0.4,-,13,Szabó Beatrix,95,MTK Budapest,F1,Székesfehérvár (HUN),2024.6.14
12.61,+0.5,-,15,Virók Erna,0,FTC,F1,Tatabánya (HUN),2024.7.26
12.6,0.0,-,16,Virók Erna,0,FTC,F1,Budapest (HUN),2024.2.11
12.6,+1.5,-,16,Szabó Beatrix,95,MTK Budapest,F,Kranj (SLO),2024.5.11
12.58,0.0,5,18,Hoffer Krisztina,90,TSC-Geotech,F1,Nyíregyháza (HUN),2024.2.18
12.58,0.0,-,18,Nyisztor Petra,96,NYSC,F1,Nyíregyháza (HUN),2024.2.18
12.58,+1.2,-,18,Virók Erna,0,FTC,F1,Budapest (HUN),2024.6.02
12.57,0.0,-,21,Szabó Beatrix,95,MTK Budapest,F1,Nyíregyháza (HUN),2024.1.2
12.57,+0.8,-,21,Virók Erna,0,FTC,F1,Székesfehérvár (HUN),2024.6.14
12.51,-0.2,-,23,Szabó Beatrix,95,MTK Budapest,F1,Budapest (HUN),2024.6.02
