Eredmény,A.h.,Er.h.,Csapat,Típus,Helyszín,Dátum
1:44.84,1,1,Vasas U18 A,F1,Budapest (HUN),2016.2.28
1:46.31,2,2,Ikarus BSE U18,F2,Budapest (HUN),2016.2.28
1:46.55,3,3,VEDAC U20,F,Budapest (HUN),2016.2.28
1:46.92,4,4,ARAK UP Akadémia U18,F1,Budapest (HUN),2016.2.28
1:47.11,5,5,UTE U18,F2,Budapest (HUN),2016.2.28
1:47.35,6,6,DSC-SI U16,F4,Budapest (HUN),2016.2.07
1:48.51,7,7,Vasas U18 B,F3,Budapest (HUN),2016.2.28
1:48.71,8,8,KARC U16,F4,Budapest (HUN),2016.2.07
1:49.77,9,9,TSC-Geotech U16,F3,Budapest (HUN),2016.2.07
1:49.86,10,10,NYSC U18,F2,Budapest (HUN),2016.2.28
1:49.94,11,11,Győri AC U16,F4,Budapest (HUN),2016.2.07
1:50.17,12,12,Gödöllői EAC U18 B,F3,Budapest (HUN),2016.2.28
1:51.01,13,13,Szombathelyi SI U16,F2,Budapest (HUN),2016.2.07
1:51.29,14,14,FTC U16,F3,Budapest (HUN),2016.2.07
1:51.93,15,15,ARAK UP Akadémia U20,F,Budapest (HUN),2016.2.28
1:52.66,16,16,Gödöllői EAC U16,F1,Budapest (HUN),2016.2.07
1:54.11,17,17,Zalaszám-ZAC U16,F2,Budapest (HUN),2016.2.07
1:54.14,18,18,ARAK UP Akadémia U14,F3,Budapest (HUN),2016.2.07
1:54.61,19,19,Favorit AC U16,F1,Budapest (HUN),2016.2.07
1:54.74,20,20,Vasas U14,F2,Budapest (HUN),2016.2.07
1:55.15,21,21,PSN Zrt. U14,F1,Budapest (HUN),2016.2.07
1:55.32,22,22,NYSC U16,F1,Budapest (HUN),2016.2.07
1:55.40,23,23,FTC U20,F,Budapest (HUN),2016.2.28
1:57.34,24,24,Ikarus BSE U16,F3,Budapest (HUN),2016.2.07
1:57.86,25,25,KARC U14,F3,Budapest (HUN),2016.2.07
1:57.97,26,26,Csepeli DAC U16,F2,Budapest (HUN),2016.2.07
1:59.22,27,27,KSI SE U16,F3,Budapest (HUN),2016.2.07
2:00.34,28,28,FTC U18,F3,Budapest (HUN),2016.2.28
2:00.56,29,29,KSI SE U14 A,F3,Budapest (HUN),2016.2.07
2:01.21,30,30,CVSE U14,F2,Budapest (HUN),2016.2.07
2:03.39,31,31,TITÁN TC U14,F3,Budapest (HUN),2016.2.07
1:44.14,1,1,ARAK UP Akadémia U18,F1,Budapest (HUN),2017.2.26
1:44.32,2,2,DSC-SI U16,F1,Budapest (HUN),2017.2.05
1:44.76,3,3,Vasas U18,F1,Budapest (HUN),2017.2.26
1:46.71,4,4,Ikarus BSE U18,F1,Budapest (HUN),2017.2.26
1:47.28,5,5,Ikarus BSE U20,F1,Budapest (HUN),2017.2.26
1:47.70,6,6,ARAK UP Akadémia U16,F1,Budapest (HUN),2017.2.05
1:47.87,7,7,Gödöllői EAC U20,F1,Budapest (HUN),2017.2.26
1:48.51,8,8,Budapest,F,Dortmund (GER),2017.3.11
1:48.64,9,9,Vasas U16,F2,Budapest (HUN),2017.2.05
1:49.64,10,10,Gödöllöi EAC U18,F2,Budapest (HUN),2017.2.26
1:49.72,11,11,FTC U18,F1,Budapest (HUN),2017.2.26
1:50.73,12,12,FTC U16,F3,Budapest (HUN),2017.2.05
1:50.95,13,13,Győri AC U18,F2,Budapest (HUN),2017.2.26
1:52.03,14,14,Haladás VSE U20,F2,Budapest (HUN),2017.2.25
1:52.23,15,15,Gödöllői EAC U16,F4,Budapest (HUN),2017.2.05
1:52.23,15,15,VEDAC U16,F2,Budapest (HUN),2017.2.05
1:53.17,17,17,UTE U16,F2,Budapest (HUN),2017.2.05
1:53.22,18,18,Ikarus BSE U16,F4,Budapest (HUN),2017.2.05
1:53.69,19,19,Budaörsi DSE U14,F1,Budapest (HUN),2017.2.05
1:53.91,20,20,Keszthelyi VDSE U16,F5,Budapest (HUN),2017.2.05
1:55.80,21,21,KSI SE U16,F3,Budapest (HUN),2017.2.05
1:55.88,22,22,ARAK UP Akadémia U14,F1,Budapest (HUN),2017.2.05
1:56.55,23,23,Zalaszám-ZAC U16,F3,Budapest (HUN),2017.2.05
1:56.68,24,24,Szolnoki SC-SI U16,F1,Budapest (HUN),2017.2.05
1:57.33,25,25,Psn Zrt U16 B,F5,Budapest (HUN),2017.2.05
1:57.55,26,26,Vasas U14,F1,Budapest (HUN),2017.2.05
1:58.33,27,27,FTC U16 B,F4,Budapest (HUN),2017.2.05
1:58.51,28,28,NYSC U16,F3,Budapest (HUN),2017.2.05
1:59.61,29,29,Postás SE U14,F3,Budapest (HUN),2017.2.05
1:59.76,30,30,FTC U18 B,F2,Budapest (HUN),2017.2.26
1:59.90,31,31,FTC U14,F2,Budapest (HUN),2017.2.05
2:01.74,32,32,FTC U20,F2,Budapest (HUN),2017.2.25
2:03.02,33,33,Albertirsai SE U14,F4,Budapest (HUN),2017.2.05
2:03.71,34,34,Csepeli DAC U14,F4,Budapest (HUN),2017.2.05
1:43.68,1,1,ARAK UP Akadémia U18,F1,Budapest (HUN),2018.2.25
1:43.68,1,1,KARC U18,F1,Budapest (HUN),2018.2.25
1:43.81,3,3,Budapest,F,Dortmund (GER),2018.3.1
1:44.29,4,4,DSC-SI U18,F2,Budapest (HUN),2018.2.25
1:44.72,5,5,Gödöllői EAC U20,F1,Budapest (HUN),2018.2.25
1:46.99,6,6,ARAK UP Akadémia U16,F7,Budapest (HUN),2018.2.04
1:47.86,7,7,Vasas SC U16,F7,Budapest (HUN),2018.2.04
1:47.96,8,8,ARAK UP Akadémia U20,F2,Budapest (HUN),2018.2.25
1:49.04,9,9,FTC U18,F2,Budapest (HUN),2018.2.25
1:49.09,10,10,Bp. Honvéd SE U20,F1,Budapest (HUN),2018.2.25
1:49.51,11,11,Psn Zrt U16,F7,Budapest (HUN),2018.2.04
1:49.64,12,12,Budaörsi DSE U16,F2,Budapest (HUN),2018.2.04
1:49.81,13,13,Ikarus BSE U20,F1,Budapest (HUN),2018.2.25
1:50.39,14,14,DSC-SI U16,F5,Budapest (HUN),2018.2.04
1:51.29,15,15,FTC U16,F7,Budapest (HUN),2018.2.04
1:51.52,16,16,ARAK UP Akadémia B,F6,Budapest (HUN),2018.2.04
1:52.34,17,17,Vasas U16 B,F3,Budapest (HUN),2018.2.04
1:55.88,18,18,MVSI U16,F5,Budapest (HUN),2018.2.04
1:56.06,19,19,Gödöllői EAC U16,F4,Budapest (HUN),2018.2.04
1:56.35,20,20,NYSC U16,F6,Budapest (HUN),2018.2.04
1:56.38,21,21,Szombathelyi SI U16,F6,Budapest (HUN),2018.2.04
1:56.86,22,22,HÓDIÁK,F5,Budapest (HUN),2018.2.04
1:56.88,23,23,Ikarus BSE U14,F4,Budapest (HUN),2018.1.28
1:57.19,24,24,Csepeli DAC U14,F4,Budapest (HUN),2018.1.28
1:57.19,24,24,NYSC B,F3,Budapest (HUN),2018.2.04
1:57.33,26,26,Egri SSE U16,F3,Budapest (HUN),2018.2.04
1:57.35,27,27,KSI SE U16,F4,Budapest (HUN),2018.2.04
1:57.55,28,28,ARAK UP Akadémia U14,F4,Budapest (HUN),2018.1.28
1:57.91,29,29,Ikarus BSE U16,F4,Budapest (HUN),2018.2.04
1:58.09,30,30,UTE U16,F6,Budapest (HUN),2018.2.04
