Eredmény,A.h.,Er.h.,Csapat,Típus,Helyszín,Dátum
1:58.27,31,31,Soproni AC U16,F3,Budapest (HUN),2018.2.04
1:58.54,32,32,FTC U16 B,F5,Budapest (HUN),2018.2.04
1:58.66,33,33,KSI SE U14,F3,Budapest (HUN),2018.1.28
1:59.22,34,34,Ikarus BSE U14 B,F3,Budapest (HUN),2018.1.28
1:59.41,35,35,FTC U20,F2,Budapest (HUN),2018.2.25
1:59.45,36,36,MTK Budapest U16,F2,Budapest (HUN),2018.2.04
1:59.89,37,37,UTE U14,F1,Budapest (HUN),2018.1.28
2:00.05,38,38,Veresegyház VSK U16,F2,Budapest (HUN),2018.2.04
2:00.19,39,39,Zalaszám-ZAC U14,F1,Budapest (HUN),2018.1.28
2:00.58,40,40,Szombathelyi SI U14,F3,Budapest (HUN),2018.1.28
2:00.69,41,41,Dunakeszi VSE U16,F4,Budapest (HUN),2018.2.04
2:01.07,42,42,Veresegyház VSK,F1,Budapest (HUN),2018.1.28
2:01.31,43,43,Salgótarjáni AC U18,F1,Budapest (HUN),2018.2.25
2:02.57,44,44,HÓDIÁK U14,F2,Budapest (HUN),2018.1.28
2:02.58,45,45,Albertirsai SE U16,F2,Budapest (HUN),2018.2.04
2:02.92,46,46,TITÁN TC U14,F2,Budapest (HUN),2018.1.28
2:03.25,47,47,Dunakeszi VSE U14,F4,Budapest (HUN),2018.1.28
2:03.79,48,48,Győri AC U14,F3,Budapest (HUN),2018.1.28
1:39.93,1,1,ARAK UP Akadémia,F1,Budapest (HUN),2019.2.24
1:43.25,2,2,Vasas,F1,Budapest (HUN),2019.2.24
1:44.71,3,3,Ikarus BSE,F2,Budapest (HUN),2019.2.24
1:44.78,4,4,BHSE,F3,Budapest (HUN),2019.2.24
1:46.19,-,5,ARAK UP Akadémia,F1,Budapest (HUN),2019.2.24
1:46.45,5,6,Horn-Bercsényi DSE,F2,Budapest (HUN),2019.2.24
1:46.70,6,7,GEAC,F2,Budapest (HUN),2019.2.24
1:47.03,-,8,Vasas,F1,Budapest (HUN),2019.2.24
1:47.04,7,9,"FTC ""A""",F1,Budapest (HUN),2019.2.24
1:47.42,8,10,ARAK UP Akadémia B,F1,Budapest (HUN),2019.2.03
1:48.76,9,11,"FTC ""P""",F1,Budapest (HUN),2019.2.24
1:49.47,10,12,"FTC ""V""",F2,Budapest (HUN),2019.2.24
1:49.93,11,13,UTE,F2,Budapest (HUN),2019.2.03
1:50.01,-,14,Vasas,F2,Budapest (HUN),2019.2.03
1:50.37,12,15,MVSI,F1,Budapest (HUN),2019.2.03
1:50.68,13,16,KARC,F4,Budapest (HUN),2019.2.03
1:51.34,14,17,ARAK UP Akadémia A,F2,Budapest (HUN),2019.2.03
1:51.56,15,18,HÓDIÁK SE,F3,Budapest (HUN),2019.2.24
1:51.58,16,19,Csepeli DAC,F1,Budapest (HUN),2019.2.03
1:52.64,17,20,FTC,F4,Budapest (HUN),2019.2.03
1:52.80,18,21,"FTC ""B""",F2,Budapest (HUN),2019.2.24
1:53.19,19,22,Szolnoki SC-SI,F4,Budapest (HUN),2019.2.03
1:53.20,20,23,Titán TC,F2,Budapest (HUN),2019.2.24
1:53.96,21,24,NYSC,F4,Budapest (HUN),2019.2.03
1:54.17,-,25,HÓDIÁK SE,F6,Budapest (HUN),2019.2.03
1:54.22,-,26,Csepeli DAC,F3,Budapest (HUN),2019.2.24
1:54.30,22,27,"Ikarus BSE ""A""",F3,Budapest (HUN),2019.2.03
1:54.62,-,28,NYSC,F2,Budapest (HUN),2019.2.24
1:54.94,23,29,KSI SE,F6,Budapest (HUN),2019.2.03
1:55.65,24,30,Szombathelyi SI,F2,Budapest (HUN),2019.2.03
1:55.69,-,31,GEAC,F3,Budapest (HUN),2019.1.27
1:55.75,25,32,Győri Atlétikai Club,F3,Budapest (HUN),2019.2.03
1:55.91,26,33,Veresegyház VSK,F5,Budapest (HUN),2019.2.03
1:56.36,27,34,Soproni AC,F3,Budapest (HUN),2019.2.03
1:57.13,-,35,Ikarus BSE,F3,Budapest (HUN),2019.1.27
1:57.93,-,36,ARAK UP Akadémia,F3,Budapest (HUN),2019.1.27
1:58.38,28,37,Budaörsi DSE,F1,Budapest (HUN),2019.1.27
2:00.70,29,38,ZALASZÁM-ZAC,F2,Budapest (HUN),2019.1.27
2:01.91,30,39,Szolnoki SC-SI B,F6,Budapest (HUN),2019.2.03
2:01.97,31,40,POSTÁS SE,F5,Budapest (HUN),2019.2.03
2:02.93,-,41,NYSC,F2,Budapest (HUN),2019.1.27
2:10.88,-,42,Soproni AC,F1,Budapest (HUN),2019.1.27
1:44.52,1,1,ARAK UP Akadémia,F1,Budapest (HUN),2020.3.01
1:45.28,2,2,BHSE,F1,Budapest (HUN),2020.3.01
1:45.45,3,3,Horn-Bercsényi DSE,F1,Budapest (HUN),2020.3.01
1:46.06,4,4,GEAC,F1,Budapest (HUN),2020.3.01
1:46.91,5,5,"Ikarus BSE ""A""",F5,Budapest (HUN),2020.2.09
1:47.29,6,6,Ikarus BSE,F3,Budapest (HUN),2020.3.01
1:47.39,-,7,ARAK UP Akadémia,F5,Budapest (HUN),2020.2.09
1:48.63,7,8,DSC-SI,F1,Budapest (HUN),2020.3.01
1:49.39,8,9,UTE A,F5,Budapest (HUN),2020.2.09
1:49.78,9,10,Vasas,F2,Budapest (HUN),2020.3.01
1:49.84,10,11,KARC,F2,Budapest (HUN),2020.3.01
1:50.00,11,12,FTC,F2,Budapest (HUN),2020.3.01
1:50.86,12,13,VEDAC,F1,Budapest (HUN),2020.3.01
1:51.08,13,14,UTE,F3,Budapest (HUN),2020.3.01
1:51.29,-,15,FTC,F1,Budapest (HUN),2020.3.01
1:52.19,-,16,VEDAC,F5,Budapest (HUN),2020.2.09
1:52.27,14,17,ARAK UP Akadémia B,F4,Budapest (HUN),2020.2.09
1:52.60,15,18,ZALASZÁM-ZAC,F2,Budapest (HUN),2020.2.09
1:52.78,16,19,SVSE,F4,Budapest (HUN),2020.2.09
1:53.25,17,20,Vasas SC,F2,Budapest (HUN),2020.2.09
1:54.21,-,21,Ikarus BSE,F2,Budapest (HUN),2020.2.02
1:55.44,18,22,Szolnoki SC-SI,F3,Budapest (HUN),2020.2.09
1:56.98,19,23,Horn-Bercsényi DSE “A”,F4,Budapest (HUN),2020.2.09
1:57.37,20,24,Szekszárdi Sportközpont NKft.,F3,Budapest (HUN),2020.2.09
1:57.51,21,25,Albertirsai SE,F2,Budapest (HUN),2020.3.01
1:57.95,22,26,UTE B.,F1,Budapest (HUN),2020.2.09
1:58.20,-,27,BHSE,F1,Budapest (HUN),2020.2.02
1:58.46,23,28,Veresegyház VSK,F2,Budapest (HUN),2020.2.09
1:58.88,-,29,ZALASZÁM-ZAC,F2,Budapest (HUN),2020.2.02
2:01.94,-,30,ARAK UP Akadémia,F2,Budapest (HUN),2020.2.02
2:03.85,24,31,Horn-Bercsényi DSE “B”,F3,Budapest (HUN),2020.2.09
2:03.88,-,32,GEAC,F1,Budapest (HUN),2020.2.02
2:05.87,25,33,Horn-Bercsényi DSE “C”,F1,Budapest (HUN),2020.2.09
2:05.91,-,34,Veresegyház VSK,F1,Budapest (HUN),2020.2.09
2:11.36,-,35,Veresegyház VSK,F1,Budapest (HUN),2020.2.02
1:43.11,1,1,BHSE,F1,Budapest (HUN),2021.2.28
1:46.14,2,2,ARAK UP Akadémia,F1,Budapest (HUN),2021.2.07
1:46.35,3,3,Ikarus BSE,F1,Budapest (HUN),2021.2.07
1:46.45,-,4,ARAK UP Akadémia,F1,Budapest (HUN),2021.2.28
1:46.99,4,5,UTE,F3,Budapest (HUN),2021.2.28
1:47.64,5,6,SVSE,F1,Budapest (HUN),2021.2.28
1:47.69,6,7,Budafoki MTE,F2,Budapest (HUN),2021.2.07
1:47.74,-,8,Ikarus BSE,F1,Budapest (HUN),2021.2.28
1:48.29,7,9,Vasas,F4,Budapest (HUN),2021.2.28
1:48.66,8,10,ZALASZÁM-ZAC,F2,Budapest (HUN),2021.2.28
1:48.80,9,11,Győri Atlétikai Club,F1,Budapest (HUN),2021.2.28
1:49.59,10,12,FTC,F2,Budapest (HUN),2021.2.28
1:49.95,-,13,UTE,F3,Budapest (HUN),2021.2.07
1:50.09,-,14,BHSE,F2,Budapest (HUN),2021.2.28
1:50.33,-,15,SVSE,F2,Budapest (HUN),2021.2.07
1:50.83,-,16,Vasas,F2,Budapest (HUN),2021.2.28
1:50.88,11,17,GEAC,F2,Budapest (HUN),2021.2.28
1:50.94,12,18,BHSE “A”,F2,Budapest (HUN),2021.2.07
1:51.94,13,19,"ZALASZÁM-ZAC ""A""",F1,Budapest (HUN),2021.2.07
1:52.28,14,20,SFAC A,F1,Budapest (HUN),2021.2.07
1:52.63,15,21,Szolnoki SC-SI,F4,Budapest (HUN),2021.2.07
1:53.09,-,22,FTC,F3,Budapest (HUN),2021.2.28
1:53.59,16,23,MTK Budapest,F2,Budapest (HUN),2021.2.28
1:54.74,17,24,"Győri Atlétikai Club - ""A""",F2,Budapest (HUN),2021.2.07
1:56.21,-,25,SVSE,F5,Budapest (HUN),2021.2.07
1:56.48,18,26,NYSC,F3,Budapest (HUN),2021.2.07
1:56.57,19,27,"Győri Atlétikai Club - ""C""",F5,Budapest (HUN),2021.2.07
1:56.74,20,28,BHSE “B”,F4,Budapest (HUN),2021.2.07
1:56.74,-,28,NYSC,F3,Budapest (HUN),2021.2.28
1:56.78,-,30,GEAC,F3,Budapest (HUN),2021.2.07
2:00.33,21,31,"Győri Atlétikai Club - ""B""",F4,Budapest (HUN),2021.2.07
2:01.57,22,32,Albertirsai SE,F4,Budapest (HUN),2021.2.28
2:01.76,23,33,Tapolcai SE,F5,Budapest (HUN),2021.2.07
1:44.40,1,1,MATE - GEAC,F2,Nyíregyháza (HUN),2022.2.13
1:44.87,2,2,ARAK UP Akadémia,F2,Nyíregyháza (HUN),2022.2.13
1:45.42,-,3,ARAK UP Akadémia,F1,Nyíregyháza (HUN),2022.2.13
1:45.94,3,4,BHSE,F1,Nyíregyháza (HUN),2022.2.13
1:46.38,4,5,ZALASZÁM-ZAC,F1,Nyíregyháza (HUN),2022.2.13
1:46.87,5,6,FTC,F2,Nyíregyháza (HUN),2022.2.13
1:47.68,-,7,BHSE,F1,Budapest (HUN),2022.2.06
1:49.71,6,8,Ikarus BSE,F1,Budapest (HUN),2022.2.06
1:50.06,7,9,DSC-SI,F1,Nyíregyháza (HUN),2022.2.13
1:52.13,-,10,MATE - GEAC,F2,Budapest (HUN),2022.2.06
1:52.47,8,11,UTE,F1,Nyíregyháza (HUN),2022.2.13
1:53.25,9,12,III. kerület TVE,F2,Budapest (HUN),2022.2.06
1:53.82,10,13,Veresegyház VSK,F1,Nyíregyháza (HUN),2022.2.13
1:53.92,11,14,Soproni AC,F2,Nyíregyháza (HUN),2022.2.13
1:54.04,12,15,NYSC,F2,Nyíregyháza (HUN),2022.2.13
1:54.25,-,16,ZALASZÁM-ZAC,F1,Budapest (HUN),2022.2.06
1:54.51,-,17,NYSC,F1,Nyíregyháza (HUN),2022.1.23
1:57.72,13,18,SFAC,F1,Budapest (HUN),2022.2.06
1:59.82,-,19,NYSC,F1,Nyíregyháza (HUN),2022.1.23
2:03.27,14,20,BAB SE,F1,Nyíregyháza (HUN),2022.1.23
1:45.92,1,1,ARAK UP Akadémia,F1,Budapest (HUN),2023.2.26
1:46.00,2,2,SVSE,F1,Budapest (HUN),2023.2.26
1:46.55,3,3,UTE,F1,Budapest (HUN),2023.2.26
1:46.70,4,4,BHSE,F3,Budapest (HUN),2023.2.26
1:47.35,5,5,Vasas,F1,Budapest (HUN),2023.2.26
1:47.57,6,6,MATE - GEAC “A”,F4,Budapest (HUN),2023.2.05
1:47.87,7,7,Ikarus BSE,F2,Budapest (HUN),2023.2.26
1:48.80,8,8,Haladás VSE,F1,Budapest (HUN),2023.2.26
1:48.84,-,9,Vasas,F2,Budapest (HUN),2023.2.26
1:49.40,9,10,Ikarus BSE A,F4,Budapest (HUN),2023.2.05
1:49.66,10,11,NYSC,F4,Budapest (HUN),2023.2.05
1:49.73,11,12,ZALASZÁM-ZAC,F2,Budapest (HUN),2023.2.26
1:50.83,-,13,BHSE,F2,Budapest (HUN),2023.2.05
1:52.44,12,14,TSC-Geotech,F1,Budapest (HUN),2023.2.05
1:53.42,13,15,Keszthely VDSE,F3,Budapest (HUN),2023.2.05
1:53.51,14,16,VEDAC,F2,Budapest (HUN),2023.2.05
1:53.67,-,17,ARAK UP Akadémia,F3,Budapest (HUN),2023.2.05
1:55.02,15,18,Ikarus BSE B,F1,Budapest (HUN),2023.2.05
1:55.47,16,19,Dobó SE,F3,Budapest (HUN),2023.2.26
1:57.79,-,20,SVSE,F3,Budapest (HUN),2023.2.05
1:57.82,-,21,UTE,F2,Budapest (HUN),2023.2.05
2:00.43,17,22,KSI SE,F1,Budapest (HUN),2023.2.26
2:01.77,18,23,"MATE - GEAC ""B""",F1,Budapest (HUN),2023.2.05
2:01.84,19,24,VSD,F1,Budapest (HUN),2023.2.05
2:07.29,20,25,AC Bonyhád,F2,Budapest (HUN),2023.2.05
