Eredmény,Szél,A.h.,Er.h.,Atléta,Szül,Klub,Típus,Helyszín,Dátum
15.27,-1.2,-,58,Rády Zoltán,95,Dunakeszi VSE,F,Maribor (SLO),2016.7.15
15.3,0.6,-,59,Kemenes Ákos,96,BHSE,F,Miskolc (HUN),2016.5.28
15.3,-0.3,-,59,Gönczöl Máté,93,VEDAC,F,Budapest (HUN),2016.9.04
15.33,0.6,-,61,Fajoyomi Viktor,91,KARC,CE2,Kladno (CZE),2016.6.11
15.33,0.2,-,61,Eszes Dániel,99,Dunakeszi VSE,F1,Székesfehérvár (HUN),2016.9.11
15.35,-0.3,-,63,Rády Zoltán,95,Dunakeszi VSE,F,Szombathely (HUN),2016.6.25
15.39,-1.3,-,64,Rády Zoltán,95,Dunakeszi VSE,H,Szombathely (HUN),2016.6.25
15.43,-2.3,-,65,Kemenes Ákos,96,BHSE,F,Debrecen (HUN),2016.6.04
15.46,0.8,11,66,Mohácsi Soma,94,KARC,F,Budapest (HUN),2016.6.18
15.48,-0.3,12,67,Berg Szabolcs,95,AC Bonyhád,F,Szombathely (HUN),2016.6.25
15.49,1.3,-,68,Rády Zoltán,95,Dunakeszi VSE,F,Budapest (HUN),2016.7.22
15.49,1.3,-,68,Kemenes Ákos,96,BHSE,F,Budapest (HUN),2016.7.22
15.65,0.6,-,70,Berg Szabolcs,95,AC Bonyhád,F,Szekszárd (HUN),2016.8.28
15.66,0.0,-,71,Mohácsi Soma,94,KARC,F2,Debrecen (HUN),2016.5.15
15.67,-1.2,-,72,Kemenes Ákos,96,BHSE,F,Maribor (SLO),2016.7.15
15.7,-0.3,-,73,Rády Zoltán,95,Dunakeszi VSE,H2,Székesfehérvár (HUN),2016.7.3
15.72,0.0,13,74,Galambos Tibor,91,FTC,F1,Debrecen (HUN),2016.5.15
15.76,2.0,-,75,Berg Szabolcs,95,AC Bonyhád,H1,Budapest (HUN),2016.6.18
15.8,0.2,-,76,Fajoyomi Viktor,91,KARC,F1,Székesfehérvár (HUN),2016.9.11
15.8,-0.7,-,76,Kemenes Ákos,96,BHSE,CE1,Székesfehérvár (HUN),2016.9.18
15.82,-0.3,-,78,Berg Szabolcs,95,AC Bonyhád,F,Budapest (HUN),2016.9.04
15.83,0.2,-,79,Kemenes Ákos,96,BHSE,F1,Székesfehérvár (HUN),2016.9.11
15.84,0.8,14,80,Szász Bence,93,FTC,F,Budapest (HUN),2016.6.18
15.84,1.3,-,80,Berg Szabolcs,95,AC Bonyhád,F,Budapest (HUN),2016.7.22
15.84,-0.3,-,80,Kemenes Ákos,96,BHSE,F,Budapest (HUN),2016.9.04
15.87,-0.3,-,83,Rády Zoltán,95,Dunakeszi VSE,F,Budapest (HUN),2016.9.04
15.87,0.2,-,83,Rády Zoltán,95,Dunakeszi VSE,F1,Székesfehérvár (HUN),2016.9.11
15.88,0.6,-,85,Berg Szabolcs,95,AC Bonyhád,F2,Székesfehérvár (HUN),2016.9.11
15.9,-0.3,-,86,Kemenes Ákos,96,BHSE,H2,Székesfehérvár (HUN),2016.7.3
15.92,0.0,-,87,Szász Bence,93,FTC,F2,Debrecen (HUN),2016.5.15
15.95,-1.3,-,88,Kemenes Ákos,96,BHSE,H,Szombathely (HUN),2016.6.25
16.05,-0.7,-,89,Szász Bence,93,FTC,CE1,Székesfehérvár (HUN),2016.9.18
16.07,0.8,-,90,Berg Szabolcs,95,AC Bonyhád,F,Budapest (HUN),2016.6.18
16.09,0.6,15,91,Csizmadia Gábor,98,Favorit AC,F2,Székesfehérvár (HUN),2016.9.11
16.17,-1.3,-,92,Berg Szabolcs,95,AC Bonyhád,H,Szombathely (HUN),2016.6.25
16.22,0.0,16,93,Botka Levente,96,ELTE SE Sashegyi gepárdok,F2,Debrecen (HUN),2016.5.15
16.22,0.2,16,93,Käfer Levente,87,UTE,F1,Székesfehérvár (HUN),2016.9.11
16.24,0.6,18,95,Kriszt Botond,96,MATE - GEAC,F2,Székesfehérvár (HUN),2016.9.11
16.26,-0.7,-,96,Galambos Tibor,91,FTC,CE1,Székesfehérvár (HUN),2016.9.18
16.27,-0.3,-,97,Csizmadia Gábor,98,Favorit AC,H2,Székesfehérvár (HUN),2016.7.3
16.28,0.8,19,98,Biró Norbert,96,Dunakeszi VSE,F,Budapest (HUN),2016.6.18
16.34,-0.5,-,99,Berg Szabolcs,95,AC Bonyhád,H1,Székesfehérvár (HUN),2016.7.3
16.37,-0.2,-,100,Botka Levente,96,ELTE SE Sashegyi gepárdok,CE,Miskolc (HUN),2016.5.29
16.38,-0.7,-,101,Kriszt Botond,96,MATE - GEAC,CE1,Székesfehérvár (HUN),2016.9.18
16.44,0.6,20,102,Székács Máté,98,Favorit AC,F2,Székesfehérvár (HUN),2016.9.11
16.45,0.6,21,103,Bartalos Dávid,95,Haladás VSE,F2,Székesfehérvár (HUN),2016.9.11
16.52,0.0,-,104,Biró Norbert,96,Dunakeszi VSE,F2,Debrecen (HUN),2016.5.15
16.58,-0.3,-,105,Biró Norbert,96,Dunakeszi VSE,F,Szombathely (HUN),2016.6.25
16.6,-0.5,-,106,Szász Bence,93,FTC,H1,Székesfehérvár (HUN),2016.7.3
16.75,0.6,-,107,Biró Norbert,96,Dunakeszi VSE,F2,Székesfehérvár (HUN),2016.9.11
16.85,-1.3,-,108,Biró Norbert,96,Dunakeszi VSE,H,Szombathely (HUN),2016.6.25
13.15,0.3,1,1,Dr. Baji Balázs,89,Békéscsabai AC,F,Székesfehérvár (HUN),2017.7.04
13.23,0.6,-,2,Dr. Baji Balázs,89,Békéscsabai AC,F,Ostrava (CZE),2017.6.28
13.23,0.3,-,2,Dr. Baji Balázs,89,Békéscsabai AC,SF3,London (GBR),2017.8.06
