Eredmény,Szél,A.h.,Er.h.,Atléta,Szül,Klub,Típus,Helyszín,Dátum
7.96,1.1,1,1,Skriván Bíbor,3,PSN - Pécsi Sportiskola,F1,Székesfehérvár (HUN),2016.5.3
8.06,1.1,2,2,Nagy Vanessza,3,Szolnoki SC-SI,F1,Székesfehérvár (HUN),2016.5.3
8.07,1.1,3,3,Kovács Boglárka,3,Titán TC,F1,Székesfehérvár (HUN),2016.5.3
8.09,1.6,-,4,Skriván Bíbor,3,PSN - Pécsi Sportiskola,CE1,Székesfehérvár (HUN),2016.9.18
8.11,1.1,4,5,Gimesi Kata,3,ARAK,F1,Székesfehérvár (HUN),2016.5.3
8.15,1.1,5,6,Szűcs Bianka,4,Budaörsi DSE,F1,Székesfehérvár (HUN),2016.5.3
8.16,1.1,6,7,Bognár Anna,3,UTE,F1,Székesfehérvár (HUN),2016.5.3
8.2,-0.2,-,8,Skriván Bíbor,3,PSN - Pécsi Sportiskola,F,Szekszárd (HUN),2016.8.27
8.29,1.6,7,9,Takács Zsófia,3,Vasas,CE1,Székesfehérvár (HUN),2016.9.18
8.46,-2.3,-,10,Kovács Boglárka,3,Titán TC,F1,Senta (SRB),2016.4.16
8.53,-0.2,8,11,Garamvölgyi Petra,3,PSN - Pécsi Sportiskola,F,Szekszárd (HUN),2016.8.27
8.53,0.4,8,11,Fodor Eugénia,3,PSN - Pécsi Sportiskola,CE2,Székesfehérvár (HUN),2016.9.18
8.57,1.6,10,13,Kónya Eszter,3,Békéscsabai AC,CE1,Székesfehérvár (HUN),2016.9.18
8.59,-0.2,11,14,Baranyai Luca,3,PSN - Pécsi Sportiskola,F,Szekszárd (HUN),2016.8.27
8.6,1.6,-,15,Baranyai Luca,3,PSN - Pécsi Sportiskola,CE1,Székesfehérvár (HUN),2016.9.18
8.65,1.6,12,16,Kiss Gabriella,3,ARAK,CE1,Székesfehérvár (HUN),2016.9.18
8.7,-0.2,-,17,Fodor Eugénia,3,PSN - Pécsi Sportiskola,F,Szekszárd (HUN),2016.8.27
8.71,0.4,13,18,Bartha Lilla,3,UTE,CE2,Székesfehérvár (HUN),2016.9.18
8.79,0.4,14,19,Szeredi Luca,3,FTC,CE2,Székesfehérvár (HUN),2016.9.18
8.81,1.0,15,20,Fülöp Alexa,4,Miskolci Sportiskola,F1,Tiszaújváros (HUN),2016.4.3
8.9,1.6,16,21,Csőke Letícia,3,Egri Sportiskola SE,CE1,Székesfehérvár (HUN),2016.9.18
8.92,0.4,17,22,Katona Enikő,3,KSI SE,CE2,Székesfehérvár (HUN),2016.9.18
9.02,1.6,18,23,Kékesi Eszter,3,Egri Sportiskola SE,CE1,Székesfehérvár (HUN),2016.9.18
9.03,1.0,19,24,Almási Emese,5,Dunakeszi VSE,F1,Tiszaújváros (HUN),2016.4.3
9.04,1.2,20,25,Beretzky Boglárka,3,Szombathelyi SI,CE3,Székesfehérvár (HUN),2016.9.18
9.17,0.4,21,26,Gálpál Zsófia,3,A-Plast Ikarus BSE,CE2,Székesfehérvár (HUN),2016.9.18
9.26,1.1,22,27,Takács Fanni,4,Tiszaújvárosi SC,F2,Tiszaújváros (HUN),2016.4.3
9.3,1.0,23,28,Regős Fanni,4,Miskolci Sportiskola,F1,Tiszaújváros (HUN),2016.4.3
9.39,-3.9,24,29,Paszternák Dóra,3,Titán TC,F2,Senta (SRB),2016.4.16
9.4,-3.9,25,30,Péntek Sára,3,Titán TC,F2,Senta (SRB),2016.4.16
9.4,1.0,25,30,Tóth Janka,4,Kazincbarcikai VSE,F1,Tiszaújváros (HUN),2016.4.3
9.42,1.0,27,32,Munkácsy Liliána,4,Kazincbarcikai VSE,F1,Tiszaújváros (HUN),2016.4.3
9.47,1.2,28,33,Németh Vera,3,MATE - GEAC,CE3,Székesfehérvár (HUN),2016.9.18
9.48,1.2,29,34,Németh Nóra,2,MATE - GEAC,CE3,Székesfehérvár (HUN),2016.9.18
9.49,-3.9,30,35,Almási Szonja,3,Titán TC,F2,Senta (SRB),2016.4.16
9.55,0.4,31,36,Zánkai Zsófia,3,A-Plast Ikarus BSE,CE2,Székesfehérvár (HUN),2016.9.18
9.59,1.2,32,37,Slezák Rebeka,3,Reménység Vác,CE3,Székesfehérvár (HUN),2016.9.18
9.63,1.1,33,38,Fegyveres Anikó,4,Hajdúböszörményi TE,F2,Tiszaújváros (HUN),2016.4.3
9.82,1.1,34,39,Makai Petra,4,Miskolci Sportiskola,F2,Tiszaújváros (HUN),2016.4.3
8.1,0.3,1,1,Szalay Dalma,97,BHSE,F,Bécs (AUT),2017.5.09
8.13,,2,2,Kocsis Anna,4,Szolnoki SC-SI,F,Lowicz (POL),2017.6.27
8.3,0.0,3,3,Czepanecz Zsófi,4,ARAK,CE1,Székesfehérvár (HUN),2017.9.24
8.47,,4,4,Kenyeres Jázmin,5,Csepeli DAC,F,Budapest (HUN),2017.5.14
8.47,-0.4,4,4,Carroll Anna,4,Vasas,CE2,Székesfehérvár (HUN),2017.9.24
8.51,,6,6,Szunyi Dorottya,5,Pegazus Atlétika,F,Budapest (HUN),2017.5.14
8.52,,7,7,Komlósi Panni,5,Kazincbarcikai VSE,F,Budapest (HUN),2017.5.14
8.57,,-,8,Komlósi Panni,5,Kazincbarcikai VSE,H3,Budapest (HUN),2017.5.14
8.57,,8,8,Joó Dóra,5,BHSE,F,Budapest (HUN),2017.5.14
8.58,,-,10,Joó Dóra,5,BHSE,H6,Budapest (HUN),2017.5.14
8.59,,-,11,Kenyeres Jázmin,5,Csepeli DAC,H8,Budapest (HUN),2017.5.14
8.6,,9,12,Sulyán Alexa,5,Veresegyház VSK,H5,Budapest (HUN),2017.5.14
8.69,,10,13,Langmár Kata,6,ARAK,F,Lowicz (POL),2017.6.27
8.69,0.0,10,13,Kiss Regina,4,KARC,CE1,Székesfehérvár (HUN),2017.9.24
8.7,0.0,12,15,Romsics Nóra,4,FTC,CE3,Székesfehérvár (HUN),2017.9.24
8.7,0.0,12,15,Szőke Luca,4,Vasas,CE3,Székesfehérvár (HUN),2017.9.24
8.71,-0.4,14,17,Kupi Vanda,4,KSI SE,CE2,Székesfehérvár (HUN),2017.9.24
8.72,,15,18,Röszler Dóra,5,ZALASZÁM-ZAC,H4,Budapest (HUN),2017.5.14
8.73,,-,19,Röszler Dóra,5,ZALASZÁM-ZAC,F,Budapest (HUN),2017.5.14
8.75,,16,20,Vancsik Petra,6,Egri Sportiskola SE,H2,Budapest (HUN),2017.5.14
8.8,,-,21,Sulyán Alexa,5,Veresegyház VSK,F,Budapest (HUN),2017.5.14
8.8,,17,21,Burján Adrienn,6,PSN - Pécsi Sportiskola,H3,Budapest (HUN),2017.5.14
8.87,,-,23,Burján Adrienn,6,PSN - Pécsi Sportiskola,F,Budapest (HUN),2017.5.14
8.88,,18,24,Erát Dalma,5,PSN - Pécsi Sportiskola,H5,Budapest (HUN),2017.5.14
8.88,,18,24,Kővári Blanka,6,Pegazus Atlétika,H9,Budapest (HUN),2017.5.14
8.88,0.0,18,24,Harkai Anna,4,KARC,CE1,Székesfehérvár (HUN),2017.9.24
