Eredmény,A.h.,Er.h.,Csapat,Típus,Helyszín,Dátum
7:25.27,1,1,UTE,F,Budapest (HUN),2016.5.21
7:48.55,2,2,Ikarus BSE,F,Budapest (HUN),2016.5.21
7:55.82,3,3,TSC-Geotech,F,Budapest (HUN),2016.5.21
8:00.61,4,4,KSI SE,F,Budapest (HUN),2016.5.21
8:33.33,1,1,FTC,F,Budapest (HUN),2017.9.16
7:44.91,1,1,DSC-SI,F1,Szekszárd (HUN),2018.9.15
8:15.36,2,2,Vasas,F1,Szekszárd (HUN),2018.9.15
8:21.73,3,3,BEAC A,F1,Szekszárd (HUN),2018.9.15
8:23.30,4,4,VEDAC,F1,Szekszárd (HUN),2018.9.15
9:03.73,5,5,GEAC,F1,Szekszárd (HUN),2018.9.15
9:21.09,6,6,ZALASZÁM-ZAC,F1,Szekszárd (HUN),2018.9.15
10:06.92,7,7,MVSI,F1,Szekszárd (HUN),2018.9.15
8:19.27,1,1,Vasas,F1,Zalaegerszeg (HUN),2019.6.02
8:28.20,2,2,BEAC,F1,Zalaegerszeg (HUN),2019.6.02
8:43.47,3,3,UTE A,F1,Zalaegerszeg (HUN),2019.6.02
9:02.41,4,4,UTE B,F1,Zalaegerszeg (HUN),2019.6.02
9:22.20,5,5,Szekszárdi Sportközpont NKft.,F1,Zalaegerszeg (HUN),2019.6.02
9:22.52,-,6,BEAC,F1,Zalaegerszeg (HUN),2019.6.02
9:26.68,6,7,Miskolci Sportiskola,F1,Zalaegerszeg (HUN),2019.6.02
9:27.50,7,8,PVSK,F1,Zalaegerszeg (HUN),2019.6.02
7:51.92,1,1,Ikarus BSE,F1,Kecskemét (HUN),2021.5.08
8:16.28,2,2,KSI SE,F1,Kecskemét (HUN),2021.5.08
8:24.89,3,3,TSC-Geotech,F1,Kecskemét (HUN),2021.5.08
8:36.02,-,4,TSC-Geotech,F1,Kecskemét (HUN),2021.5.08
8:41.55,-,5,Ikarus BSE,F1,Kecskemét (HUN),2021.5.08
9:05.77,4,6,UTE,F1,Kecskemét (HUN),2021.5.08
9:22.85,5,7,SFAC,F1,Kecskemét (HUN),2021.5.08
9:35.07,6,8,Szekszárdi Sportközpont,F1,Kecskemét (HUN),2021.5.08
9:56.10,7,9,Salgótarjáni AC,F1,Kecskemét (HUN),2021.5.08
8:13.38,1,1,KSI SE,F1,Kecskemét (HUN),2022.5.07
8:41.66,2,2,Vasas,F1,Kecskemét (HUN),2022.5.07
8:57.37,3,3,Ikarus BSE,F1,Kecskemét (HUN),2022.5.07
9:15.79,4,4,Budaörsi DSE,F1,Kecskemét (HUN),2022.5.07
9:16.91,5,5,SVSE,F1,Kecskemét (HUN),2022.5.07
7:39.04,1,1,UTE,F1,Budapest (HUN),2023.5.07
7:58.33,2,2,MATE - GEAC,F1,Budapest (HUN),2023.5.07
8:07.64,3,3,KSI SE,F1,Budapest (HUN),2023.5.07
9:17.68,4,4,TSC-Geotech,F1,Budapest (HUN),2023.5.07
9:55.17,5,5,SZVSE,F1,Budapest (HUN),2023.5.07
7:43.22,1,1,UTE,F1,Kaposvár (HUN),2024.5.18
7:47.80,2,2,PVSK,F1,Kaposvár (HUN),2024.5.18
7:49.34,3,3,Győri Atlétikai Club,F1,Kaposvár (HUN),2024.5.18
8:06.34,4,4,MATE - GEAC,F1,Kaposvár (HUN),2024.5.18
8:45.34,5,5,FTC,F1,Kaposvár (HUN),2024.5.18
8:58.60,6,6,SVSE,F1,Kaposvár (HUN),2024.5.18
9:10.37,7,7,ZALASZÁM-ZAC,F1,Kaposvár (HUN),2024.5.18
9:14.75,8,8,Szekszárdi Sportközpont,F1,Kaposvár (HUN),2024.5.18
9:20.67,9,9,HALAS AC,F1,Kaposvár (HUN),2024.5.18
9:21.16,10,10,A-Plast Ikarus BSE,F1,Kaposvár (HUN),2024.5.18
9:27.41,-,11,MATE - GEAC,F1,Kaposvár (HUN),2024.5.18
9:28.67,11,12,DOVASE,F1,Kaposvár (HUN),2024.5.18
9:41.89,12,13,VSD,F1,Kaposvár (HUN),2024.5.18
9:51.14,13,14,SZVSE,F1,Kaposvár (HUN),2024.5.18
10:57.41,14,15,Pápai AC,F1,Kaposvár (HUN),2024.5.18
