Eredmény,A.h.,Er.h.,Atléta,Szül,Klub,Típus,Helyszín,Dátum
6:21.39,1,1,Kiszel Gergő,3,KARC,F,Debrecen (HUN),2016.7.1
6:22.94,2,2,Szabó Ádám,3,Békéscsabai AC,F,Debrecen (HUN),2016.7.1
6:31.60,3,3,Pintér-Horváth Mátyás,3,Győri Atlétikai Club,F,Debrecen (HUN),2016.7.1
6:40.11,4,4,Strijk Barnabás,3,DOVASE,F,Debrecen (HUN),2016.7.1
6:43.91,5,5,Németh Mihály,3,Szombathelyi SI,F,Debrecen (HUN),2016.7.1
6:49.59,6,6,Szőke-Kiss Jácint,3,MATE - GEAC,F,Debrecen (HUN),2016.7.1
6:50.55,-,7,Pintér-Horváth Mátyás,3,Győri Atlétikai Club,F,Budapest (HUN),2016.6.24
6:52.87,7,8,Tóth Szilveszter,3,KARC,F,Debrecen (HUN),2016.7.1
6:53.19,8,9,Hegedűs Kristóf,3,TSC-Geotech,F,Debrecen (HUN),2016.7.1
6:54.50,9,10,Tóth Márton,3,VEDAC,F,Debrecen (HUN),2016.7.1
6:57.41,10,11,Stiegelmayer András,3,DSC-SI,F,Debrecen (HUN),2016.7.1
6:59.95,-,12,Tóth Szilveszter,3,KARC,F,Budapest (HUN),2016.6.24
7:01.74,-,13,Hegedűs Kristóf,3,TSC-Geotech,F,Budapest (HUN),2016.6.24
7:18.43,11,14,Gonda Levente,3,BHSE,F,Debrecen (HUN),2016.7.1
6:11.79,1,1,Kovács Ferenc,4,Budaörsi DSE,F3,Budapest (HUN),2017.7.09
6:30.23,2,2,Balázs Benjámin,4,Salgótarjáni AC,F3,Budapest (HUN),2017.7.09
6:30.86,3,3,Jakab András,4,DSC-SI,F3,Budapest (HUN),2017.7.09
6:32.14,4,4,Bozori Péter,4,TATAI A.C.,F3,Budapest (HUN),2017.7.09
6:39.72,5,5,Baier Kristóf,4,Tempo-Aqua,F1,Budapest (HUN),2017.7.09
6:44.85,6,6,Lukonics Máté,4,A-Plast Ikarus BSE,F1,Budapest (HUN),2017.7.09
6:46.76,7,7,Karsai Gábor,4,Békéscsabai AC,F1,Budapest (HUN),2017.7.09
6:51.20,8,8,Bese Marcell,4,ARAK,F1,Budapest (HUN),2017.7.09
6:56.28,9,9,Bognár András,4,Tempo-Aqua,F1,Budapest (HUN),2017.7.09
7:02.20,10,10,Turányi Barnabás,4,BEAC,F1,Budapest (HUN),2017.7.09
7:07.49,11,11,Czinege Dávid,4,Miskolci Sportiskola,F3,Budapest (HUN),2017.7.09
