Eredmény,Szél,A.h.,Er.h.,Atléta,Szül,Klub,Típus,Helyszín,Dátum
23.4,0.0,-,75,Orosz Balázs,5,DVTK,F11,Nyíregyháza (HUN),2024.1.2
23.4,0.0,39,75,Tass Máté,5,Dobó SE,F3,Nyíregyháza (HUN),2024.2.25
23.41,0.0,-,77,Nádas Balázs,8,Veresegyház VSK,F5,Nyíregyháza (HUN),2024.1.2
23.42,0.0,-,78,Kalics Krisztián,8,Szolnoki SC-SI,F10,Nyíregyháza (HUN),2024.1.2
23.42,0.0,40,78,Vajda István,6,PVSK,F6,Budapest (HUN),2024.1.28
23.43,0.0,41,80,Türk András,4,Vasas,F6,Budapest (HUN),2024.2.1
23.45,0.0,42,81,Fekete Marcell,6,A-Plast Ikarus BSE,F5,Budapest (HUN),2024.1.28
23.48,0.0,-,82,Csányi Pál,8,UTE,F6,Nyíregyháza (HUN),2024.1.2
23.53,0.0,-,83,Nádas Balázs,8,Veresegyház VSK,F3,Nyíregyháza (HUN),2024.1.27
23.53,0.0,43,83,Kovács Bence,3,ARAK,F3,Budapest (HUN),2024.1.28
23.57,0.0,-,85,Tass Máté,5,Dobó SE,F8,Budapest (HUN),2024.1.28
23.57,0.0,44,85,Varga Botond,7,ARAK,F8,Budapest (HUN),2024.2.1
23.58,0.0,-,87,Varga Botond,7,ARAK,F8,Budapest (HUN),2024.1.28
23.58,0.0,-,87,Kovács Bence,3,ARAK,F6,Budapest (HUN),2024.2.1
23.58,0.0,-,87,Csányi Pál,8,UTE,F2,Budapest (HUN),2024.2.1
23.59,0.0,45,90,Mika Botond,5,VSD,F8,Nyíregyháza (HUN),2024.1.2
23.61,0.0,46,91,Virág Erik,2,Budafoki MTE,F18,Budapest (HUN),2024.1.28
23.63,0.0,47,92,Bodrogi Levente,6,VSD,F4,Nyíregyháza (HUN),2024.1.27
23.63,0.0,47,92,Tatai Bulcsú,7,ARAK,F7,Budapest (HUN),2024.1.28
23.64,0.0,-,94,Tölgyes Zalán,5,Győri Atlétikai Club,F2,Nyíregyháza (HUN),2024.2.25
23.66,0.0,49,95,Litauszki Zsombor,7,Békéscsabai AC,F6,Nyíregyháza (HUN),2024.1.27
23.67,0.0,-,96,Mészáros Balázs,5,ARAK,F1,Budapest (HUN),2024.1.28
23.67,0.0,50,96,Benke Viktor,7,Haladás VSE,F9,Budapest (HUN),2024.2.1
23.68,0.0,51,98,Csapo Dániel,6,Békéscsabai AC,F3,Nyíregyháza (HUN),2024.2.25
23.69,0.0,-,99,Benke Viktor,7,Haladás VSE,F3,Nyíregyháza (HUN),2024.2.25
23.72,0.0,52,100,Szabó Levente,7,REAC SI SE,F6,Budapest (HUN),2024.1.28
23.73,0.0,53,101,Kovács Szabolcs,5,NYSC,F6,Nyíregyháza (HUN),2024.1.2
23.73,0.0,53,101,Ódor Balázs,7,ARAK,F5,Budapest (HUN),2024.1.28
23.76,0.0,55,103,Perge Attila,2,EVSI,F9,Nyíregyháza (HUN),2024.1.2
23.76,0.0,55,103,Czene Dániel,4,FTC,F2,Nyíregyháza (HUN),2024.1.27
23.76,0.0,-,103,Szabó Levente,7,REAC SI SE,F3,Nyíregyháza (HUN),2024.2.25
23.76,0.0,55,103,Czifra Károly,6,HÓDIÁK SE,F4,Nyíregyháza (HUN),2024.2.25
23.76,0.0,55,103,Gábor Bálint,6,Keszthely VDSE,F4,Nyíregyháza (HUN),2024.2.25
23.77,0.0,-,108,Szabó Levente,7,REAC SI SE,F9,Budapest (HUN),2024.2.1
23.78,0.0,-,109,Varga Botond,7,ARAK,F2,Nyíregyháza (HUN),2024.2.25
23.79,0.0,59,110,Standi Bence,8,Haladás VSE,F8,Budapest (HUN),2024.2.1
