Eredmény,A.h.,Er.h.,Csapat,Típus,Helyszín,Dátum
3:14.49,1,1,FTC,F1,Nyíregyháza (HUN),2024.2.18
3:16.77,2,2,UTE,F1,Nyíregyháza (HUN),2024.2.18
3:20.86,3,3,A-Plast Ikarus BSE,F2,Nyíregyháza (HUN),2024.2.18
3:20.97,4,4,MATE - GEAC,F2,Nyíregyháza (HUN),2024.2.18
3:23.97,5,5,Győri Atlétikai Club,F2,Nyíregyháza (HUN),2024.2.18
3:25.23,6,6,SVSE,F1,Nyíregyháza (HUN),2024.2.18
